joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-1.145727,-0.466485,0.392236,0.028276,-0.178526,-0.115581,0.360056,-0.553467,0.507638,1.761471,2.170449,0.473569,-1.713345,-0.471129,-0.452781,0.998429,-1.596309,0.117701,0.134951,0.630318,0.801415,1.281159,0.301688,-0.042765,-0.037341,-0.262241,-0.385329,1.200979,-1.014495
-1.122905,-0.375897,0.376409,0.055437,-0.130989,-0.209689,0.364146,-0.634378,0.492875,1.778965,2.053466,0.431087,-1.735345,-0.495367,-0.364041,1.106406,-1.665604,0.093179,0.192426,0.676735,0.835440,1.264476,0.330827,-0.015926,0.024752,-0.263439,-0.416965,1.205276,-0.998786
-1.123618,-0.322745,0.350199,0.113486,-0.074568,-0.284732,0.361305,-0.717283,0.464024,1.767424,1.937876,0.372615,-1.718922,-0.499558,-0.277488,1.219230,-1.727351,0.064589,0.234050,0.689417,0.868782,1.246793,0.369071,0.016972,0.095115,-0.255829,-0.430926,1.192361,-0.959660
-1.132843,-0.272566,0.319590,0.176666,-0.030542,-0.343687,0.360464,-0.794081,0.435297,1.753241,1.836918,0.311352,-1.697147,-0.497215,-0.194167,1.322863,-1.786817,0.039269,0.261800,0.698577,0.901524,1.230410,0.414702,0.042408,0.163476,-0.246373,-0.437850,1.174984,-0.913691
-1.159094,-0.228331,0.280180,0.250107,-0.011301,-0.370463,0.363626,-0.858668,0.406818,1.733773,1.765219,0.244509,-1.664667,-0.481804,-0.117309,1.408114,-1.841721,0.020490,0.261800,0.700695,0.933068,1.216628,0.475109,0.052921,0.227834,-0.233227,-0.430700,1.148682,-0.854035
-1.180208,-0.175335,0.238933,0.298000,-0.013853,-0.362458,0.355055,-0.875137,0.384083,1.688400,1.737434,0.178609,-1.632820,-0.470825,-0.094885,1.460818,-1.882355,0.017413,0.261800,0.694687,0.974009,1.208523,0.564060,0.054809,0.282888,-0.223287,-0.415520,1.130073,-0.782810
-1.198753,-0.117958,0.196768,0.333118,-0.027301,-0.337062,0.340617,-0.867546,0.364220,1.630074,1.731606,0.113182,-1.601288,-0.462061,-0.099678,1.497248,-1.915854,0.022186,0.261800,0.684616,1.019650,1.203255,0.667285,0.052385,0.333290,-0.214950,-0.396326,1.115309,-0.705800
-1.228496,-0.065157,0.167300,0.341888,-0.045294,-0.290493,0.320026,-0.828603,0.353160,1.561524,1.747720,0.055795,-1.588227,-0.445403,-0.102335,1.499465,-1.941899,0.019458,0.261800,0.660041,1.076916,1.193071,0.771782,0.036052,0.385421,-0.206177,-0.373138,1.110262,-0.633695
-1.264230,0.003228,0.137602,0.340932,-0.069834,-0.231822,0.289499,-0.761939,0.344440,1.468951,1.757726,-0.001607,-1.583192,-0.425906,-0.121861,1.494217,-1.978798,0.016144,0.261800,0.631779,1.154080,1.185029,0.879488,0.024322,0.429400,-0.194250,-0.343995,1.104290,-0.541236
-1.311947,0.102779,0.107442,0.320522,-0.107464,-0.148946,0.239102,-0.639833,0.340399,1.328333,1.755515,-0.059039,-1.594212,-0.400729,-0.175129,1.474035,-2.037405,0.011658,0.261800,0.596145,1.271038,1.181272,0.993613,0.021798,0.457073,-0.176019,-0.302941,1.096469,-0.408070
-1.367138,0.190049,0.073507,0.311826,-0.172888,-0.062463,0.190103,-0.510307,0.350850,1.231164,1.751270,-0.104156,-1.577622,-0.364785,-0.228925,1.448957,-2.101546,0.001698,0.261800,0.575872,1.346015,1.172590,1.084543,0.032039,0.441636,-0.155871,-0.260126,1.100266,-0.289442
-1.426066,0.271178,0.037684,0.308987,-0.252209,0.025823,0.141803,-0.377071,0.368546,1.155719,1.746007,-0.143116,-1.547228,-0.323457,-0.282986,1.421429,-2.168455,-0.011000,0.261800,0.563279,1.400000,1.161445,1.163877,0.048662,0.404644,-0.134765,-0.216431,1.109872,-0.178084
-1.453759,0.311332,-0.022469,0.337971,-0.379847,0.133752,0.086900,-0.264770,0.392017,1.112915,1.665402,-0.144225,-1.460473,-0.263618,-0.305327,1.368552,-2.217676,-0.041144,0.238537,0.581810,1.400000,1.167669,1.225644,0.073221,0.319731,-0.119567,-0.170282,1.120009,-0.066953
-1.488709,0.333050,-0.080999,0.382307,-0.512631,0.224371,0.021335,-0.176919,0.403135,1.089789,1.552167,-0.127412,-1.370692,-0.214885,-0.316519,1.319663,-2.250692,-0.075707,0.217784,0.606739,1.400000,1.170461,1.275842,0.095612,0.229615,-0.106973,-0.132965,1.139336,0.042561
-1.538169,0.317893,-0.136284,0.457344,-0.655707,0.280368,-0.065553,-0.137966,0.389548,1.106018,1.373669,-0.074756,-1.274861,-0.188366,-0.305414,1.278752,-2.251298,-0.119105,0.202052,0.644461,1.400000,1.166388,1.302899,0.113667,0.129092,-0.099586,-0.113310,1.177043,0.148842
-1.531503,0.266469,-0.239090,0.538028,-0.778891,0.353530,-0.151053,-0.087367,0.401517,1.085817,1.203209,-0.000495,-1.178545,-0.144522,-0.286173,1.239279,-2.239741,-0.171872,0.186825,0.707000,1.400000,1.186169,1.304994,0.114985,0.043521,-0.080702,-0.105430,1.205662,0.206152
-1.496775,0.196910,-0.365655,0.621535,-0.892129,0.435275,-0.235858,-0.030946,0.426263,1.047403,1.036767,0.084569,-1.081987,-0.092015,-0.262866,1.200524,-2.222103,-0.229323,0.171851,0.781947,1.400000,1.217879,1.294608,0.107934,-0.034574,-0.056069,-0.103438,1.229738,0.238976
-1.508751,0.146488,-0.475967,0.688701,-0.935554,0.408825,-0.287759,0.038007,0.405762,1.013806,0.903110,0.276753,-0.967917,-0.104531,-0.255836,1.221710,-2.140534,-0.248809,0.211140,0.915444,1.400000,1.237676,1.276226,0.105840,-0.062294,-0.068691,-0.116652,1.248850,0.259682
-1.496988,0.083134,-0.593218,0.734442,-0.970736,0.392972,-0.312936,0.094357,0.399800,1.002336,0.784203,0.442653,-0.855578,-0.124912,-0.240474,1.229596,-2.064501,-0.261800,0.242227,1.023997,1.400000,1.254175,1.260591,0.103168,-0.091000,-0.077767,-0.125770,1.257013,0.277677
-1.437747,-0.006082,-0.724344,0.737329,-0.989429,0.398314,-0.284666,0.125498,0.422915,1.035119,0.694797,0.555984,-0.746700,-0.161024,-0.208449,1.210884,-1.999539,-0.261800,0.256906,1.082666,1.400000,1.264077,1.250454,0.099339,-0.121677,-0.079750,-0.126693,1.243277,0.290249
-1.372155,-0.098795,-0.826983,0.715281,-0.978813,0.396549,-0.239294,0.146200,0.449601,1.039590,0.624030,0.638391,-0.646183,-0.227302,-0.188893,1.195253,-1.936455,-0.261800,0.261800,1.107729,1.400000,1.262036,1.239012,0.102727,-0.139442,-0.086120,-0.129485,1.219382,0.297655
-1.303387,-0.193256,-0.915378,0.680766,-0.953543,0.391232,-0.185369,0.161682,0.478073,1.029905,0.562582,0.705336,-0.549847,-0.308664,-0.175572,1.181164,-1.874310,-0.261800,0.261800,1.115988,1.400000,1.254023,1.226918,0.109723,-0.150749,-0.094684,-0.133212,1.190409,0.302477
-1.246071,-0.306829,-0.946846,0.597540,-0.890046,0.311209,-0.066665,0.182506,0.497563,1.040439,0.552277,0.761602,-0.423265,-0.422085,-0.205802,1.211700,-1.735892,-0.223848,0.261800,1.147167,1.385991,1.232397,1.173561,0.121392,-0.141475,-0.108210,-0.148656,1.198360,0.295981
-1.199619,-0.460656,-0.832034,0.513580,-0.801994,0.218225,0.039440,0.217184,0.512446,1.040940,0.598733,0.822258,-0.149927,-0.519579,-0.265556,1.373353,-1.437458,-0.189374,0.261800,1.228317,1.204657,1.200522,1.145064,0.122678,-0.150207,-0.119613,-0.150501,1.198136,0.238735
-1.174894,-0.694991,-0.424664,0.428155,-0.664831,0.099319,0.120345,0.279569,0.518111,1.021376,0.758710,0.891691,0.416920,-0.585220,-0.384360,1.797241,-0.818991,-0.161858,0.261800,1.409410,0.688673,1.148153,1.166286,0.103199,-0.194954,-0.126770,-0.125151,1.181561,0.079988
-1.109769,-0.773087,-0.278722,0.310569,-0.518571,0.034818,0.183423,0.254432,0.520000,0.926671,0.692501,0.993628,0.594656,-0.623379,-0.391630,2.027591,-0.598039,-0.121157,0.261800,1.503480,0.538343,1.183984,1.110378,0.066156,-0.199720,-0.121895,-0.130738,1.143539,-0.004744
-1.024444,-0.773064,-0.263494,0.176902,-0.367761,-0.002481,0.237587,0.185534,0.520000,0.794395,0.513200,1.111816,0.577835,-0.647797,-0.343134,2.161171,-0.575845,-0.073864,0.261800,1.554040,0.570839,1.263915,1.015905,0.020331,-0.184497,-0.111006,-0.151793,1.094794,-0.052470
-1.010168,-0.857366,-0.263210,0.110819,-0.263305,-0.090573,0.238410,0.162007,0.520000,0.778508,0.548632,1.134126,0.474052,-0.665957,-0.353359,2.209066,-0.489793,-0.056548,0.261800,1.521414,0.645660,1.288326,1.008100,-0.016227,-0.145491,-0.099766,-0.149228,1.008815,-0.079242
-1.001521,-0.938668,-0.283319,0.046274,-0.162176,-0.177713,0.240031,0.157652,0.520000,0.779289,0.603499,1.149000,0.350180,-0.682947,-0.366791,2.239472,-0.401536,-0.038954,0.261800,1.475648,0.705357,1.305217,1.007030,-0.039752,-0.090023,-0.090687,-0.148153,0.914460,-0.119322
-1.004134,-1.013970,-0.344214,-0.015195,-0.067701,-0.262949,0.243246,0.191642,0.520000,0.813407,0.697233,1.149000,0.186129,-0.697597,-0.386637,2.234901,-0.308868,-0.020802,0.261800,1.403602,0.734805,1.307071,1.019433,-0.037214,-0.001632,-0.085931,-0.150059,0.803352,-0.186015
-0.964349,-1.040679,-0.438244,-0.083139,0.010114,-0.357709,0.223799,0.230529,0.520000,0.793202,0.727492,1.149000,0.023166,-0.683555,-0.397855,2.143455,-0.219789,-0.015747,0.249823,1.313289,0.775765,1.228985,1.028608,-0.030542,0.104374,-0.089870,-0.169291,0.719136,-0.254216
-0.903365,-1.043090,-0.548841,-0.154322,0.079598,-0.457230,0.193021,0.271865,0.520000,0.745836,0.726013,1.149000,-0.139255,-0.655167,-0.404759,2.008572,-0.132505,-0.017241,0.231857,1.213842,0.822480,1.110929,1.036169,-0.021803,0.219188,-0.098155,-0.197185,0.648365,-0.323170
-0.818996,-1.023301,-0.585092,-0.227341,0.126691,-0.491972,0.149076,0.346328,0.520000,0.711052,0.727390,1.149000,-0.252039,-0.658702,-0.405992,1.949106,-0.092652,-0.008385,0.209530,1.109302,0.759611,0.941306,1.000457,-0.008930,0.290730,-0.115820,-0.213443,0.566498,-0.378438
-0.722292,-0.996335,-0.608913,-0.295983,0.164847,-0.516107,0.102408,0.405635,0.520000,0.680410,0.727923,1.148629,-0.363692,-0.658962,-0.401847,1.895269,-0.056147,-0.002415,0.188890,1.009048,0.690885,0.781979,0.967001,0.010132,0.325264,-0.134561,-0.222247,0.493634,-0.429117
-0.600920,-0.955014,-0.607874,-0.355870,0.185128,-0.519027,0.050293,0.434630,0.520000,0.658052,0.726770,1.147515,-0.473082,-0.652669,-0.386948,1.852688,-0.026337,-0.002217,0.171625,0.917367,0.610446,0.643243,0.938058,0.041570,0.285780,-0.155454,-0.216144,0.438772,-0.470619
-0.500834,-0.910631,-0.611535,-0.377721,0.187525,-0.513457,0.044103,0.453979,0.519998,0.683229,0.765792,1.139613,-0.570307,-0.653087,-0.394749,1.814618,-0.007568,0.002831,0.152259,0.861511,0.545772,0.555770,0.908772,0.062359,0.235635,-0.162223,-0.208552,0.403570,-0.497108
-0.411392,-0.864716,-0.617547,-0.380554,0.180980,-0.503643,0.060875,0.468505,0.519996,0.732173,0.824902,1.128317,-0.661450,-0.656859,-0.413901,1.778803,0.005679,0.010305,0.131843,0.823569,0.488980,0.493928,0.879316,0.077824,0.180159,-0.161932,-0.200217,0.378198,-0.516091
-0.366447,-0.827382,-0.586579,-0.337034,0.150071,-0.048221,0.100036,0.425904,0.519998,0.847590,0.906174,0.126073,-0.697383,-0.661491,-0.459377,1.077037,-0.337057,0.013391,0.120348,-0.049668,0.547288,0.713911,0.902027,0.224380,0.107755,-0.104499,-0.164243,0.486030,-0.565210
-0.331531,-0.778659,-0.536831,-0.278122,0.109716,0.272681,0.139915,0.369116,0.519678,0.957600,0.959057,-0.574136,-0.727327,-0.651092,-0.498748,0.623668,-0.589005,0.015009,0.103169,-0.622969,0.568299,0.861683,0.898168,0.297954,0.065863,-0.073447,-0.138489,0.564857,-0.601755
-0.316674,-0.707159,-0.449520,-0.188423,0.050468,0.324546,0.181233,0.283954,0.518713,1.056795,0.955160,-0.670274,-0.745292,-0.610633,-0.525910,0.667095,-0.659379,0.013690,0.074625,-0.596401,0.514714,0.865033,0.841168,0.225563,0.084994,-0.095159,-0.133175,0.585673,-0.613151
-0.318706,-0.641115,-0.375769,-0.100417,-0.000626,0.339721,0.211599,0.187519,0.500257,1.142333,0.962905,-0.744922,-0.770848,-0.592250,-0.558302,0.720810,-0.685509,0.019129,0.052888,-0.560384,0.504154,0.850372,0.818195,0.173083,0.068298,-0.118887,-0.128466,0.625519,-0.633477
-0.329183,-0.577801,-0.308796,-0.013257,-0.047644,0.336552,0.236491,0.085448,0.473056,1.221043,0.976472,-0.808824,-0.800201,-0.584905,-0.593309,0.779670,-0.689518,0.027949,0.034554,-0.519642,0.515107,0.826705,0.812236,0.130558,0.033688,-0.143622,-0.124059,0.674880,-0.658270
-0.342698,-0.507386,-0.244877,0.060798,-0.098025,0.302921,0.259590,-0.039562,0.434014,1.229815,0.978762,-0.864399,-0.818383,-0.617635,-0.605496,0.814783,-0.693804,0.047870,0.030481,-0.505617,0.523021,0.808629,0.787585,0.116630,0.028606,-0.166710,-0.142703,0.688451,-0.659216
-0.357509,-0.445104,-0.185734,0.116997,-0.133009,0.267791,0.272466,-0.145941,0.401256,1.227965,0.975798,-0.922311,-0.835937,-0.640635,-0.610729,0.843570,-0.698494,0.061523,0.028475,-0.500801,0.526857,0.793951,0.770807,0.104790,0.028671,-0.183889,-0.157617,0.704964,-0.665750
-0.374912,-0.399089,-0.136142,0.137487,-0.137197,0.229663,0.264899,-0.215060,0.381064,1.204873,0.962327,-0.984899,-0.852238,-0.644172,-0.602050,0.859704,-0.703993,0.062640,0.030606,-0.514399,0.522537,0.786070,0.769775,0.097123,0.039030,-0.189252,-0.165068,0.727360,-0.683460
-0.389135,-0.365456,-0.101923,0.140598,-0.131209,0.196101,0.252600,-0.257507,0.362222,1.177322,0.944822,-1.025712,-0.864273,-0.648111,-0.591026,0.869513,-0.715419,0.056528,0.035368,-0.524972,0.519524,0.773154,0.766868,0.086814,0.046763,-0.195264,-0.171620,0.749831,-0.691489
-0.401768,-0.338014,-0.075391,0.135020,-0.120132,0.164821,0.237935,-0.286620,0.344055,1.147541,0.925299,-1.055638,-0.874175,-0.652252,-0.578830,0.876158,-0.729809,0.046802,0.041446,-0.534033,0.517165,0.757721,0.763024,0.075184,0.053183,-0.201601,-0.177723,0.772341,-0.694676
-0.401774,-0.338041,-0.075397,0.135033,-0.120154,0.164820,0.237926,-0.286604,0.344069,1.147562,0.925332,-1.055599,-0.874083,-0.652261,-0.578822,0.876145,-0.729806,0.046795,0.041455,-0.534033,0.517136,0.757672,0.763015,0.075192,0.053166,-0.201595,-0.177702,0.772284,-0.694635
-0.401818,-0.338225,-0.075441,0.135125,-0.120304,0.164813,0.237863,-0.286492,0.344161,1.147706,0.925554,-1.055336,-0.873464,-0.652326,-0.578764,0.876059,-0.729789,0.046748,0.041515,-0.534036,0.516939,0.757343,0.762954,0.075249,0.053048,-0.201553,-0.177562,0.771901,-0.694359
-0.401933,-0.338705,-0.075555,0.135362,-0.120694,0.164793,0.237698,-0.286202,0.344402,1.148082,0.926132,-1.054651,-0.871848,-0.652493,-0.578615,0.875835,-0.729742,0.046626,0.041673,-0.534044,0.516426,0.756483,0.762794,0.075397,0.052742,-0.201443,-0.177196,0.770901,-0.693637
-0.402146,-0.339602,-0.075767,0.135806,-0.121423,0.164757,0.237391,-0.285660,0.344851,1.148783,0.927213,-1.053371,-0.868830,-0.652805,-0.578337,0.875417,-0.729656,0.046398,0.041968,-0.534058,0.515468,0.754877,0.762496,0.075674,0.052171,-0.201238,-0.176513,0.769034,-0.692291
