joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.873706,4.277655,0.444847,-0.055158,-0.647648,-2.083158,0.251348,-0.411501,0.000000,1.603674,-1.346745,-0.623700,-5.014167,-1.856172,-0.763966,1.435823,-3.888502,0.142435,0.392029,3.760183,0.106453,-0.022936,-0.986149,-0.312760,0.877025,0.000007,-0.520176,1.489308,-1.689026
0.870309,4.407615,0.360243,-0.132059,-0.608678,-2.536638,0.498387,-0.760506,0.000000,1.790085,-1.850188,-0.669617,-5.312927,-2.059991,-0.535353,1.690759,-3.810092,-0.014994,0.447395,3.794601,0.292890,0.077426,-0.560290,-0.505790,1.193764,-0.162199,-0.743744,1.665477,-1.590010
0.573496,1.431241,0.260815,-0.545404,-1.232919,-3.945968,-0.203734,-1.180659,-0.000004,0.083141,-3.516877,-0.633336,-4.802513,-0.661671,4.869686,4.350305,-3.597904,-0.842590,1.034565,4.278527,0.944356,0.048856,1.171237,-0.826834,1.902725,-0.112346,-0.714561,1.151891,-1.056316
0.687332,2.736994,0.174210,-0.350728,-0.591089,-4.347567,-0.018126,-1.854407,-0.025198,0.392011,-3.990166,-0.958632,-4.357961,-1.080843,4.122279,4.484619,-3.669020,-0.902038,1.342412,4.218378,1.092158,-0.099211,1.354289,-0.664395,2.070208,-0.257545,-0.972519,0.970448,-0.774381
0.915005,5.348500,0.001000,0.038623,0.692571,-5.150764,0.353090,-3.201904,-0.075588,1.009752,-4.936745,-1.609225,-3.468858,-1.919188,2.627463,4.753246,-3.811251,-1.020933,1.958108,4.098081,1.387762,-0.395343,1.720393,-0.339518,2.405173,-0.547943,-1.488436,0.607563,-0.210510
1.065719,4.802442,-0.527223,0.918239,1.815435,-4.853836,0.254035,-3.764348,-0.517293,0.919710,-5.545042,-1.952455,-1.889631,-1.447679,3.833826,5.183654,-3.580245,-1.157701,2.568528,2.913240,1.596761,-0.687854,1.544761,0.781459,2.871476,-0.222585,-1.550647,0.345727,0.453472
1.141076,4.529413,-0.791334,1.358048,2.376866,-4.705371,0.204508,-4.045570,-0.738145,0.874690,-5.849190,-2.124070,-1.100017,-1.211925,4.437008,5.398858,-3.464742,-1.226085,2.873738,2.320819,1.701261,-0.834110,1.456945,1.341948,3.104628,-0.059906,-1.581752,0.214809,0.785463
-0.035634,2.657589,-1.310486,2.902474,2.821013,-3.752174,-0.142075,-4.145204,-1.442575,-0.577043,-5.779456,-2.923626,0.821142,-0.209542,4.327655,5.641215,-3.087351,-1.429534,2.081232,0.634087,1.667086,-0.884171,1.912207,1.644904,3.518151,0.380513,-0.698071,-0.645722,1.956301
-0.461270,2.508975,-1.530489,3.159000,2.201347,-2.947728,-0.042023,-3.839921,-1.436362,-0.709158,-5.047948,-3.063137,1.088756,0.117151,4.166070,5.181656,-2.973300,-1.266006,1.387488,0.458030,1.637117,-0.819145,2.281578,1.271821,3.418074,0.472779,-0.346210,-0.868847,2.298459
-1.312541,2.211746,-1.970496,3.672051,0.962016,-1.338836,0.158081,-3.229356,-1.423936,-0.973388,-3.584933,-3.342161,1.623985,0.770536,3.842900,4.262538,-2.745198,-0.938951,0.000000,0.105915,1.577178,-0.689095,3.020319,0.525655,3.217920,0.657309,0.357511,-1.315098,2.982776
-1.055695,2.649798,-2.062338,2.394621,-0.127584,0.400256,-0.428565,-0.823427,-1.136754,-2.268673,-1.389253,-3.294963,1.592387,0.548970,1.121198,2.635183,-2.031711,-0.153854,0.000000,-0.300397,2.047080,-0.405275,4.447585,0.094409,2.752699,0.497003,0.758990,-0.930479,3.561271
-0.927272,2.868824,-2.108259,1.755906,-0.672384,1.269802,-0.721888,0.379538,-0.993162,-2.916316,-0.291413,-3.271364,1.576588,0.438186,-0.239653,1.821506,-1.674968,0.238694,0.000000,-0.503553,2.282031,-0.263364,5.161217,-0.121214,2.520088,0.416850,0.959730,-0.738169,3.850518
-1.487128,2.640060,-1.473358,0.438522,-0.899688,2.328438,-1.029563,1.947134,-0.552982,-3.427498,0.805728,-2.869344,0.653064,0.832889,-0.132838,0.110875,-1.302227,-0.136398,0.000000,-1.228790,2.863305,-0.509223,5.224872,-0.816647,2.606551,0.438668,1.159383,-0.252360,3.605243
-1.786698,3.419232,-1.484909,-0.047814,-1.226970,2.933562,-1.526326,3.333192,-0.435998,-4.628630,0.500305,-2.870100,0.251720,0.974872,-0.976347,-0.262438,-1.844937,-0.165701,0.000000,-1.413091,3.858176,-0.402094,5.385318,-0.586499,2.198921,0.596304,1.457154,-0.298597,4.622936
-2.385839,4.977576,-1.508011,-1.020485,-1.881532,4.143810,-2.519851,6.105310,-0.202031,-7.030892,-0.110543,-2.871611,-0.550969,1.258836,-2.663365,-1.009065,-2.930356,-0.224306,0.000000,-1.781693,5.847920,-0.187837,5.706212,-0.126203,1.383661,0.911575,2.052695,-0.391070,6.658322
-2.759546,4.363498,-1.696771,-0.434795,-3.271198,4.324135,-2.449955,6.476298,0.522532,-4.858470,-0.212278,-2.255871,0.829480,1.797214,-2.689811,-1.253935,-3.207067,-0.498033,0.000000,-1.013650,3.748821,-0.434111,4.546521,0.512037,-0.771844,1.007396,2.140735,0.189847,5.931374
-2.946399,4.056459,-1.791151,-0.141951,-3.966031,4.414297,-2.415007,6.661792,0.884814,-3.772259,-0.263146,-1.948001,1.519704,2.066403,-2.703034,-1.376370,-3.345423,-0.634897,0.000000,-0.629629,2.699271,-0.557249,3.966676,0.831157,-1.849597,1.055307,2.184755,0.480305,5.567901
