body_0_vx,body_0_vy,body_0_vz
-0.039850,-0.050100,-0.209900
-0.038050,-0.058850,-0.190200
-0.043100,-0.066700,-0.215600
-0.043600,-0.075100,-0.210950
-0.029200,-0.085400,-0.108750
-0.032000,-0.093500,-0.119050
-0.045050,-0.118000,-0.155800
-0.049500,-0.128750,-0.170350
-0.058200,-0.146300,-0.195950
-0.085400,-0.172450,-0.229800
-0.114700,-0.199700,-0.266250
-0.144900,-0.214800,-0.326050
-0.187350,-0.231450,-0.408900
-0.236150,-0.239100,-0.471450
-0.286400,-0.238550,-0.509650
-0.327450,-0.236950,-0.552000
-0.390050,-0.188650,-0.674150
-0.388750,-0.181700,-0.779200
-0.358050,-0.153400,-0.952700
-0.249250,-0.024150,-1.198700
-0.194900,0.040450,-1.321700
-0.024800,0.173750,-1.592750
0.078100,0.076550,-1.598950
0.283850,-0.118000,-1.611250
0.078550,-0.039800,-1.552450
-0.024100,-0.000750,-1.523000
0.157200,0.189950,-1.195100
0.247000,0.220450,-1.018600
0.426700,0.281350,-0.665650
0.660900,0.265250,-0.302400
0.777950,0.257250,-0.120800
0.741700,0.114550,0.302100
0.696800,0.102650,0.412400
0.607050,0.078700,0.632900
0.579250,0.019150,0.797100
0.565350,-0.010600,0.879250
0.211750,0.220400,1.161250
0.269100,0.123800,1.239850
0.383850,-0.069300,1.397050
0.329150,-0.140150,1.417700
0.301700,-0.175550,1.428050
0.129700,-0.197600,1.399250
0.070100,-0.184250,1.400250
-0.049150,-0.157450,1.402350
0.051150,0.155400,1.129050
0.101300,0.311850,0.992400
0.165500,0.485600,0.705950
0.197550,0.548700,0.631550
0.261700,0.674950,0.482700
0.270300,0.675400,0.248050
0.274650,0.675550,0.130800
0.198350,0.470050,0.131700
0.264200,0.444100,0.198650
0.395750,0.392200,0.332500
0.145150,0.575800,0.307550
0.019800,0.667550,0.295100
0.294950,0.600900,0.207150
0.245250,0.547800,0.090100
0.145850,0.441650,-0.144050
0.191700,0.271100,-0.310050
0.214600,0.185800,-0.393000
0.295750,-0.166500,-0.513900
0.470450,-0.214350,-0.380800
0.409900,-0.155100,-0.057350
0.409900,-0.155100,-0.057350
0.680200,-0.734700,0.085100
0.610400,-0.946850,0.185000
1.751600,-0.730850,0.341200
1.770800,-0.650950,0.270750
1.809200,-0.491200,0.129800
1.574700,-0.181300,0.434600
1.457500,-0.026400,0.587050
1.263950,0.381850,0.475950
1.158100,0.497600,0.461550
0.946400,0.729050,0.432750
0.765200,0.900650,0.378150
0.224883,0.328800,0.116950
0.224883,0.328800,0.116950
0.224883,0.328800,0.116950
0.015100,0.082583,0.013800
0.015100,0.082583,0.013800
0.015100,0.082583,0.013800
0.015117,0.082567,0.013783
0.015117,0.082567,0.013783
0.015117,0.082567,0.013783
0.015100,0.082583,0.013800
0.015100,0.082583,0.013800
0.015100,0.082583,0.013800
-0.010033,0.070850,0.024933
-0.010033,0.070850,0.024933
-0.010033,0.070850,0.024933
-0.010017,0.070867,0.024917
-0.010017,0.070867,0.024917
-0.010017,0.070867,0.024917
-0.010033,0.070850,0.024933
-0.010033,0.070850,0.024933
-0.010033,0.070850,0.024933
-0.180883,0.142233,0.141633
-0.180883,0.142233,0.141633
-0.180883,0.142233,0.141633
-0.217933,0.100300,0.090000
-0.217933,0.100300,0.090000
-0.217933,0.100300,0.090000
-0.236467,0.079350,0.064200
-0.236467,0.079350,0.064200
-0.236467,0.079350,0.064200
-0.289650,0.072733,0.093800
-0.289650,0.072733,0.093800
-0.289650,0.072733,0.093800
-0.279383,0.066617,0.086083
-0.279383,0.066617,0.086083
-0.279383,0.066617,0.086083
-0.258917,0.054350,0.070667
-0.258917,0.054350,0.070667
-0.258917,0.054350,0.070667
-0.226950,0.032983,0.063333
-0.226950,0.032983,0.063333
-0.226950,0.032983,0.063333
-0.210983,0.022317,0.059683
-0.210983,0.022317,0.059683
-0.210983,0.022317,0.059683
-0.197800,0.020917,0.055950
-0.197800,0.020917,0.055950
-0.197800,0.020917,0.055950
-0.184600,0.019533,0.052233
-0.184600,0.019533,0.052233
-0.184600,0.019533,0.052233
-0.171433,0.018133,0.048483
-0.171433,0.018133,0.048483
-0.171433,0.018133,0.048483
-0.158233,0.016733,0.044767
-0.158233,0.016733,0.044767
-0.158233,0.016733,0.044767
-0.145050,0.015350,0.041033
-0.145050,0.015350,0.041033
-0.145050,0.015350,0.041033
-0.131867,0.013950,0.037300
-0.131867,0.013950,0.037300
-0.131867,0.013950,0.037300
-0.118683,0.012550,0.033567
-0.118683,0.012550,0.033567
-0.118683,0.012550,0.033567
-0.105483,0.011150,0.029850
-0.105483,0.011150,0.029850
-0.105483,0.011150,0.029850
-0.092317,0.009767,0.026100
-0.092317,0.009767,0.026100
-0.092317,0.009767,0.026100
-0.079117,0.008367,0.022383
-0.079117,0.008367,0.022383
-0.079117,0.008367,0.022383
-0.065933,0.006983,0.018650
-0.065933,0.006983,0.018650
-0.065933,0.006983,0.018650
-0.052733,0.005567,0.014933
-0.052733,0.005567,0.014933
-0.052733,0.005567,0.014933
-0.039567,0.004183,0.011183
-0.039567,0.004183,0.011183
-0.039567,0.004183,0.011183
-0.026367,0.002800,0.007467
-0.026367,0.002800,0.007467
-0.026367,0.002800,0.007467
-0.013183,0.001400,0.003717
-0.013183,0.001400,0.003717
-0.013183,0.001400,0.003717
