index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_qw,torso_qx,torso_qy,torso_qz
201,4019.992,1786878554722.436,13342540.371,0.000000000,0.972490907,-0.025694404,0.229668558,-0.029216424
202,4039.992,1786878554742.436,13342560.371,0.000000000,0.972491443,-0.025038756,0.229739994,-0.029206812
203,4059.992,1786878554762.436,13342580.371,0.000000000,0.972504199,-0.024402259,0.229752898,-0.029219391
204,4079.992,1786878554782.436,13342600.371,0.000000000,0.972509384,-0.023807064,0.229788318,-0.029258247
205,4099.992,1786878554802.436,13342620.371,0.000000000,0.972494602,-0.023261648,0.229898900,-0.029320443
206,4119.992,1786878554822.436,13342640.370,0.000000000,0.972454250,-0.022760628,0.230110183,-0.029393174
207,4139.993,1786878554842.437,13342660.372,0.000000000,0.972389698,-0.022291923,0.230421424,-0.029450148
208,4159.995,1786878554862.438,13342680.373,0.000000000,0.972307861,-0.021845328,0.230806306,-0.029472889
209,4179.993,1786878554882.437,13342700.372,0.000000000,0.972211778,-0.021406917,0.231253594,-0.029458681
210,4199.992,1786878554902.436,13342720.371,0.000000000,0.972104311,-0.020966031,0.231750876,-0.029413227
211,4219.993,1786878554922.437,13342740.372,0.000000000,0.972018182,-0.020630158,0.232148066,-0.029365757
212,4239.993,1786878554942.437,13342760.372,0.000000000,0.971898079,-0.020172419,0.232700258,-0.029288178
213,4259.993,1786878554962.437,13342780.372,0.000000000,0.971774817,-0.019706137,0.233266070,-0.029194249
214,4279.994,1786878554982.438,13342800.372,0.000000000,0.971651375,-0.019235477,0.233832747,-0.029083876
215,4299.994,1786878555002.438,13342820.373,0.000000000,0.971530139,-0.018765436,0.234390110,-0.028954515
216,4319.993,1786878555022.437,13342840.372,0.000000000,0.971411824,-0.018307699,0.234937817,-0.028776851
217,4339.996,1786878555042.440,13342860.375,0.000000000,0.971288323,-0.017898068,0.235495269,-0.028647361
218,4359.991,1786878555062.435,13342880.370,0.000000000,0.971169531,-0.017553829,0.235994309,-0.028780287
219,4379.992,1786878555082.436,13342900.371,0.000000000,0.971059501,-0.017316246,0.236415729,-0.029174352
220,4399.993,1786878555102.436,13342920.371,0.000000000,0.970955372,-0.017184705,0.236793473,-0.029651809
221,4419.994,1786878555122.438,13342940.373,0.000000000,0.970851123,-0.017103394,0.237164915,-0.030139016
222,4439.992,1786878555142.436,13342960.371,0.000000000,0.970753491,-0.017054368,0.237517744,-0.030530805
223,4459.992,1786878555162.436,13342980.371,0.000000000,0.970602870,-0.016931782,0.238068938,-0.031089200
224,4479.993,1786878555182.437,13343000.372,0.000000000,0.970432580,-0.016678123,0.238700122,-0.031697527
225,4499.992,1786878555202.436,13343020.371,0.000000000,0.970228016,-0.016235627,0.239475921,-0.032331429
226,4519.992,1786878555222.436,13343040.371,0.000000000,0.969979703,-0.015654042,0.240420863,-0.033046573
227,4539.992,1786878555242.436,13343060.371,0.000000000,0.969721854,-0.015058346,0.241409048,-0.033681639
228,4559.992,1786878555262.436,13343080.371,0.000000000,0.969437420,-0.014513567,0.242494702,-0.034304302
229,4579.992,1786878555282.436,13343100.371,0.000000000,0.969084680,-0.014168813,0.243809789,-0.035084516
230,4599.992,1786878555302.436,13343120.371,0.000000000,0.968671143,-0.013917625,0.245344147,-0.035899855
231,4619.992,1786878555322.436,13343140.371,0.000000000,0.968238771,-0.013795717,0.246939212,-0.036665216
232,4639.993,1786878555342.437,13343160.372,0.000000000,0.967806518,-0.013951719,0.248516172,-0.037357654
233,4659.993,1786878555362.437,13343180.372,0.000000000,0.967397690,-0.014544918,0.249981806,-0.037937805
234,4679.993,1786878555382.437,13343200.371,0.000000000,0.967162907,-0.015350387,0.250809789,-0.038140938
235,4699.994,1786878555402.438,13343220.372,0.000000000,0.966990888,-0.016905313,0.251401484,-0.037948467
236,4719.994,1786878555422.438,13343240.373,0.000000000,0.967033684,-0.018977093,0.251217395,-0.037088756
237,4739.994,1786878555442.438,13343260.373,0.000000000,0.967326164,-0.021541717,0.250095993,-0.035609875
238,4759.991,1786878555462.435,13343280.369,0.000000000,0.967715800,-0.024041992,0.248379484,-0.035437308
239,4779.992,1786878555482.436,13343300.371,0.000000000,0.967340708,-0.023878908,0.248676211,-0.042916652
240,4799.992,1786878555502.436,13343320.371,0.000000000,0.966542363,-0.021131877,0.250039071,-0.053195346
241,4819.994,1786878555522.438,13343340.372,0.000000000,0.966000974,-0.016097462,0.250317037,-0.062644534
242,4839.993,1786878555542.437,13343360.372,0.000000000,0.966468990,-0.010675236,0.247526333,-0.067486748
243,4859.992,1786878555562.436,13343380.370,0.000000000,0.967128038,-0.006461394,0.245274022,-0.066800162
244,4879.993,1786878555582.437,13343400.372,0.000000000,0.967434525,-0.003813865,0.245430067,-0.061805531
245,4899.993,1786878555602.437,13343420.371,0.000000000,0.967747927,-0.003976732,0.245614275,-0.055872831
246,4919.993,1786878555622.437,13343440.372,0.000000000,0.968138516,-0.007009317,0.246164978,-0.045403570
247,4939.992,1786878555642.435,13343460.370,0.000000000,0.968530953,-0.012690522,0.246585473,-0.031342831
248,4959.994,1786878555662.437,13343480.372,0.000000000,0.968741894,-0.020187052,0.246777430,-0.015248221
249,4979.993,1786878555682.437,13343500.372,0.000000000,0.968958557,-0.027656481,0.245669350,-0.001019838
250,4999.993,1786878555702.437,13343520.372,0.000000000,0.969741940,-0.034710962,0.241508797,0.008319637
251,5019.993,1786878555722.437,13343540.372,0.000000000,0.970933855,-0.042404532,0.235263735,0.011845432
252,5039.993,1786878555742.437,13343560.372,0.000000000,0.971558213,-0.049924638,0.231258363,0.010084640
253,5059.992,1786878555762.436,13343580.370,0.000000000,0.972030997,-0.053560339,0.228598475,0.005453242
254,5079.992,1786878555782.435,13343600.370,0.000000000,0.972916126,-0.052884955,0.225025788,-0.000909984
255,5099.992,1786878555802.436,13343620.371,0.000000000,0.974127591,-0.049367391,0.220426172,-0.007109135
256,5119.991,1786878555822.435,13343640.370,0.000000000,0.975182295,-0.045878943,0.216326505,-0.010839510
257,5139.993,1786878555842.437,13343660.372,0.000000000,0.975708306,-0.043550398,0.214309439,-0.012964934
258,5159.995,1786878555862.438,13343680.374,0.000000000,0.976133347,-0.040597919,0.212734297,-0.016112633
259,5179.993,1786878555882.436,13343700.371,0.000000000,0.976398230,-0.037899464,0.211663634,-0.020213459
260,5199.993,1786878555902.437,13343720.372,0.000000000,0.976741850,-0.035646144,0.209880859,-0.025586821
261,5219.993,1786878555922.437,13343740.371,0.000000000,0.977192283,-0.034494739,0.207104400,-0.031830363
262,5239.993,1786878555942.437,13343760.372,0.000000000,0.977719903,-0.034466147,0.203647509,-0.037463509
263,5259.992,1786878555962.436,13343780.371,0.000000000,0.978199780,-0.035040084,0.200332791,-0.042001463
264,5279.992,1786878555982.436,13343800.371,0.000000000,0.978635848,-0.035707165,0.197401062,-0.045051694
265,5299.992,1786878556002.436,13343820.371,0.000000000,0.978954792,-0.036301304,0.195297420,-0.046782855
266,5319.993,1786878556022.437,13343840.372,0.000000000,0.979141533,-0.036661264,0.194059655,-0.047735892
267,5339.995,1786878556042.439,13343860.374,0.000000000,0.979205549,-0.036780249,0.193775177,-0.047485135
268,5359.994,1786878556062.438,13343880.373,0.000000000,0.979083955,-0.036723744,0.194511488,-0.047024544
