index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
39,780.017,1786884122986.510,18910804.445,0.000000000,-0.392648637,-0.252567530,-0.032605194
40,799.980,1786884123006.473,18910824.408,0.000000000,-0.677811682,-0.274257511,0.363991380
41,819.975,1786884123026.468,18910844.403,0.000000000,-0.032355826,-1.112171412,0.265995711
42,839.989,1786884123046.482,18910864.417,0.000000000,-0.066756099,-0.657392800,0.342927754
43,859.979,1786884123066.472,18910884.407,0.000000000,-0.394249558,-0.273958236,0.220802009
44,879.971,1786884123086.464,18910904.399,0.000000000,-0.178919613,-0.524394870,-0.508471191
45,899.973,1786884123106.467,18910924.401,0.000000000,0.240122408,-0.102976605,-0.279076844
46,919.970,1786884123126.463,18910944.398,0.000000000,0.169982538,0.357833892,0.214809299
47,939.976,1786884123146.469,18910964.404,0.000000000,0.117086537,0.097636975,0.207396433
48,959.974,1786884123166.467,18910984.402,0.000000000,0.109910399,0.214747056,-0.211909696
49,979.977,1786884123186.470,18911004.405,0.000000000,-0.065286994,0.236751601,-0.160554439
50,999.975,1786884123206.468,18911024.403,0.000000000,0.261424810,0.195734337,-0.453249931
51,1019.987,1786884123226.480,18911044.415,0.000000000,0.408555597,0.266919523,-0.753673911
52,1039.985,1786884123246.478,18911064.413,0.000000000,0.198542878,-0.198569596,-0.820576012
53,1059.980,1786884123266.473,18911084.408,0.000000000,0.032527987,-0.447260827,-0.530568004
54,1080.013,1786884123286.506,18911104.441,0.000000000,0.074712172,-0.601863801,-0.172324434
55,1099.982,1786884123306.475,18911124.410,0.000000000,0.062510952,-0.523750663,0.056526385
56,1119.974,1786884123326.467,18911144.402,0.000000000,0.117562458,0.130516544,0.551273882
57,1139.983,1786884123346.476,18911164.411,0.000000000,-0.143699393,0.151384816,0.939591885
58,1159.976,1786884123366.469,18911184.404,0.000000000,0.001987414,0.043385193,1.053846359
59,1179.975,1786884123386.469,18911204.403,0.000000000,0.007715769,0.063824795,0.918869793
60,1199.980,1786884123406.473,18911224.408,0.000000000,0.038610991,0.313593626,0.504422665
61,1220.005,1786884123426.498,18911244.433,0.000000000,0.421015948,0.036411446,-0.264916331
62,1239.982,1786884123446.475,18911264.411,0.000000000,0.505359530,0.125822857,-0.381232977
63,1260.012,1786884123466.505,18911284.440,0.000000000,0.117318623,-0.090865538,0.122922413
64,1279.982,1786884123486.475,18911304.410,0.000000000,0.087815754,-0.060899328,-0.239257574
65,1299.994,1786884123506.487,18911324.422,0.000000000,0.034666330,-0.115315601,-0.236397177
66,1319.978,1786884123526.471,18911344.406,0.000000000,-0.317233443,0.025879206,0.295194656
67,1340.008,1786884123546.501,18911364.436,0.000000000,-0.726551533,0.071202971,1.099195838
68,1359.980,1786884123566.473,18911384.408,0.000000000,-0.538390219,0.113444932,1.226899266
69,1379.975,1786884123586.468,18911404.403,0.000000000,-0.571342170,0.298340172,0.690430343
70,1399.974,1786884123606.468,18911424.402,0.000000000,-0.051212441,0.210353792,0.541383803
71,1419.975,1786884123626.468,18911444.403,0.000000000,0.238248393,0.394093424,0.502032042
72,1439.971,1786884123646.465,18911464.400,0.000000000,0.120861799,0.393437237,0.234907955
