index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_qw,base_qx,base_qy,base_qz
106,2120.009,1786884124326.502,18912144.437,0.000000000,0.997533321,-0.022808155,0.056162644,-0.035394583
107,2140.007,1786884124346.500,18912164.435,0.000000000,0.997530222,-0.022486586,0.056392230,-0.035322476
108,2159.976,1786884124366.469,18912184.404,0.000000000,0.997530341,-0.021903563,0.056449130,-0.035594024
109,2179.999,1786884124386.492,18912204.427,0.000000000,0.997584283,-0.021255463,0.055627052,-0.035769038
110,2199.983,1786884124406.476,18912224.411,0.000000000,0.997597158,-0.021401109,0.055330940,-0.035782956
111,2220.012,1786884124426.505,18912244.440,0.000000000,0.997236073,-0.022505388,0.059251104,-0.038768709
112,2239.985,1786884124446.478,18912264.413,0.000000000,0.996964514,-0.020831101,0.061809842,-0.042512789
113,2260.007,1786884124466.500,18912284.435,0.000000000,0.996731818,-0.016056361,0.062268235,-0.048893474
114,2279.984,1786884124486.478,18912304.412,0.000000000,0.996801913,-0.013848208,0.059389208,-0.051644083
115,2300.097,1786884124506.590,18912324.525,0.000000000,0.996803284,-0.014553335,0.056861281,-0.054204777
116,2319.976,1786884124526.469,18912344.404,0.000000000,0.996876717,-0.016120702,0.056280881,-0.053003326
117,2339.976,1786884124546.469,18912364.404,0.000000000,0.997203410,-0.020089209,0.054935783,-0.046517048
118,2359.974,1786884124566.467,18912384.402,0.000000000,0.997524798,-0.024019329,0.053178675,-0.039234232
119,2379.978,1786884124586.470,18912404.406,0.000000000,0.997670710,-0.027069379,0.053439278,-0.032628756
120,2400.005,1786884124606.499,18912424.433,0.000000000,0.997657955,-0.033154190,0.053351082,-0.027074395
121,2419.976,1786884124626.469,18912444.404,0.000000000,0.997671008,-0.037751276,0.050159600,-0.026671935
122,2440.018,1786884124646.511,18912464.446,0.000000000,0.997803867,-0.036921717,0.048068412,-0.026714763
123,2459.982,1786884124666.475,18912484.410,0.000000000,0.997872949,-0.034034606,0.048816711,-0.026611289
124,2479.999,1786884124686.491,18912504.427,0.000000000,0.997975588,-0.033268146,0.047936916,-0.025298404
125,2499.979,1786884124706.473,18912524.408,0.000000000,0.998034775,-0.033943683,0.046539895,-0.024667468
126,2519.982,1786884124726.475,18912544.410,0.000000000,0.998060346,-0.037115213,0.044400040,-0.022948340
127,2539.985,1786884124746.478,18912564.413,0.000000000,0.998017609,-0.038244482,0.043928619,-0.023841869
128,2559.999,1786884124766.492,18912584.427,0.000000000,0.997959852,-0.038645383,0.042755205,-0.027470801
129,2579.978,1786884124786.471,18912604.406,0.000000000,0.997896612,-0.038998127,0.041077834,-0.031529441
130,2600.007,1786884124806.500,18912624.435,0.000000000,0.997916222,-0.039124880,0.037991606,-0.034482650
131,2620.005,1786884124826.499,18912644.434,0.000000000,0.997955263,-0.039153572,0.036580734,-0.034845378
132,2639.979,1786884124846.472,18912664.407,0.000000000,0.997997582,-0.038945448,0.036164068,-0.034297131
133,2660.013,1786884124866.506,18912684.441,0.000000000,0.998035789,-0.038171858,0.037156474,-0.032968510
134,2679.982,1786884124886.475,18912704.410,0.000000000,0.998066247,-0.037548963,0.037675977,-0.032160882
135,2699.975,1786884124906.468,18912724.403,0.000000000,0.998162091,-0.035851542,0.038238000,-0.030412545
136,2719.976,1786884124926.469,18912744.405,0.000000000,0.998239279,-0.034258574,0.038601592,-0.029233731
137,2739.969,1786884124946.463,18912764.397,0.000000000,0.998312473,-0.032384820,0.038883947,-0.028486364
138,2759.970,1786884124966.463,18912784.398,0.000000000,0.998367190,-0.030625010,0.039248645,-0.028010668
139,2779.970,1786884124986.463,18912804.398,0.000000000,0.998400450,-0.028686486,0.040122002,-0.027637145
140,2799.974,1786884125006.467,18912824.402,0.000000000,0.998402417,-0.027550749,0.040968139,-0.027479708
141,2819.980,1786884125026.473,18912844.408,0.000000000,0.998387337,-0.026765142,0.041901499,-0.027396886
142,2839.973,1786884125046.466,18912864.401,0.000000000,0.998361349,-0.026203541,0.042891338,-0.027356405
143,2859.976,1786884125066.469,18912884.404,0.000000000,0.998306811,-0.025738023,0.044386614,-0.027401390
144,2879.975,1786884125086.468,18912904.403,0.000000000,0.998260140,-0.025431238,0.045581028,-0.027428579
145,2899.975,1786884125106.469,18912924.403,0.000000000,0.998208344,-0.025131561,0.046848599,-0.027453877
146,2919.970,1786884125126.463,18912944.398,0.000000000,0.998136640,-0.024652058,0.048588939,-0.027471684
147,2939.979,1786884125146.472,18912964.407,0.000000000,0.998104095,-0.024390159,0.049363215,-0.027505789
148,2959.975,1786884125166.468,18912984.403,0.000000000,0.998052776,-0.023900019,0.050568774,-0.027609825
149,2979.975,1786884125186.468,18913004.403,0.000000000,0.998025656,-0.023525130,0.051252522,-0.027649628
150,2999.974,1786884125206.467,18913024.402,0.000000000,0.998013556,-0.023018494,0.051648762,-0.027774788
