index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
34,679.985,1786883914796.459,18702614.394,0.000000000,0.039019268,-1.165349722,-0.717642546,0.712367296,-0.675889611,1.682215214,-1.062062979,-0.254156142,-0.751363695,1.641897321,0.856169283,0.148179382,-0.011785571,3.380599260,-1.282345891,0.488572627,-0.563298225,0.002225932,-0.044168901,-0.343804449,0.591007173,-1.640216947,-1.219590425,0.687559605,-1.456718326,-3.382849216,-4.902278423,4.499530315,-0.599128902
35,699.983,1786883914816.456,18702634.391,0.000000000,-0.590996444,-0.722511888,-0.474522412,0.550320923,-0.953685880,0.997979045,-0.644492090,0.080993101,-0.638160467,2.471454144,0.331753999,0.295153290,-0.096920088,2.588955641,-0.780679345,0.488758177,-0.540272117,-0.017442796,-0.003190361,-0.174676061,0.686851799,-1.539653420,-1.104025960,0.697446465,-1.505351901,-3.697081804,-5.093554020,4.783955097,-0.804394662
36,719.989,1786883914836.462,18702654.397,0.000000000,-1.250704527,-0.141792819,-0.110541746,0.336805344,-1.015780807,0.263212442,-0.523847997,0.255170852,-0.588484466,2.634955645,0.541169226,0.414734423,-0.347419798,1.710947514,-0.101114243,0.452541828,-0.448581874,0.094136149,0.097631834,-0.084497482,0.829412639,-1.402930737,-1.064940572,0.560541987,-1.483219028,-4.188906193,-5.144485950,5.147788525,-1.150872111
37,739.988,1786883914856.462,18702674.397,0.000000000,-2.053435326,0.668431580,0.399459511,0.214385629,-0.866533279,-0.316630065,-0.421800017,0.256251395,-0.410639614,1.841734052,0.465269983,0.551540554,-0.773484945,-0.346168160,2.533580303,0.404284865,-0.360912621,0.151327178,-0.112821825,-0.097502299,0.978303850,-1.174210429,-1.140292048,0.405134290,-1.385324955,-4.493209362,-4.976501465,5.263805866,-1.458127856
38,759.999,1786883914876.473,18702694.408,0.000000000,-2.349573612,0.884314775,0.833172381,0.159432679,-0.684756935,-0.696030855,-0.159073681,0.345101476,-0.177590534,1.575485229,0.649274111,0.616643548,-1.213383675,-0.677290440,2.997136831,0.432915598,-0.269731015,0.082830876,-0.263559073,-0.229014963,1.070402861,-1.050511241,-1.379956722,0.370262980,-1.350142360,-4.530473709,-4.790038109,5.165164948,-1.835590005
39,779.989,1786883914896.463,18702714.398,0.000000000,-2.279843569,0.783181131,0.816425145,0.176652163,-0.669357657,-0.792521298,-0.089958310,0.411967546,-0.006078623,1.357744217,0.821730256,0.530637026,-1.337769151,-0.689727247,3.343724728,0.506667435,-0.177916750,0.036504712,-0.307757705,-0.343510747,1.106232882,-0.989673615,-1.542563319,0.393137246,-1.321514726,-4.510241032,-4.590207577,4.974337578,-2.148910761
40,799.985,1786883914916.459,18702734.394,0.000000000,-2.112581253,0.558618009,0.633926332,0.179406896,-0.627626300,-0.777040839,-0.063339412,0.421704859,0.044980064,1.162083268,0.911325216,0.327119291,-1.286935449,-0.422191054,3.092171669,0.653462052,-0.142118230,0.052270290,-0.294318050,-0.443992645,1.044721246,-1.051474333,-1.670456409,0.390600353,-1.307582378,-4.585458755,-4.497172356,4.929628849,-2.233057261
41,819.985,1786883914936.459,18702754.394,0.000000000,-2.020506144,0.361325026,0.445343733,0.155095771,-0.499188453,-0.652901649,-0.104094073,0.315020412,0.064030424,0.987414360,1.247552514,0.166666284,-1.138295293,-0.218010455,2.428509474,0.775727570,-0.176252320,0.058153953,-0.199687958,-0.547259867,0.985861063,-1.091812134,-1.677284360,0.364928186,-1.260984302,-4.615257740,-4.497866631,4.936958790,-2.152700186
42,840.017,1786883914956.490,18702774.425,0.000000000,-1.670616865,-0.060859635,0.083824977,0.403291315,-0.436087579,-0.372578382,-0.426006347,0.168088555,-0.073522605,0.747421741,1.786488771,-0.085907772,-0.953641891,0.129605964,1.224492073,0.725236177,-0.212940469,0.061358418,-0.054251172,-0.685995519,0.891739607,-1.144097686,-1.695432425,0.318545163,-1.235004544,-4.678717613,-4.595472336,5.049367428,-1.940808415
43,859.987,1786883914976.461,18702794.396,0.000000000,-1.017693877,-0.471041739,-0.271493107,0.839495242,-0.451663017,0.233596355,-0.678990126,-0.034476086,-0.264942020,0.632007122,1.698103786,-0.337864578,-0.697011650,1.748002052,-0.459338993,0.592779100,-0.298276544,0.014003005,0.009321906,-0.815306842,0.868771136,-1.350815654,-1.755264401,0.314161509,-1.253738284,-4.809422493,-4.772790909,5.272273540,-1.800794005
44,879.984,1786883914996.457,18702814.392,0.000000000,-0.348716825,-0.562900305,-0.571932614,1.316020012,-0.595487952,0.920099139,-1.005467653,0.025799301,-0.892269731,0.214692309,1.716304898,-0.473478556,-0.288977712,3.399012566,-1.200327277,0.431288928,-0.499055713,0.106146634,0.008058570,-0.795223892,0.809639990,-1.451593518,-1.610660911,0.399921447,-1.224098682,-4.669438362,-4.985774040,5.307326317,-1.666766763
