index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,encoder_mode_0
86,1719.989,1786876953749.476,11741567.411,0.000000000,0.000000000
87,1739.989,1786876953769.477,11741587.412,0.000000000,0.000000000
88,1759.987,1786876953789.474,11741607.409,0.000000000,0.000000000
89,1779.987,1786876953809.474,11741627.409,0.000000000,0.000000000
90,1799.988,1786876953829.476,11741647.410,0.000000000,0.000000000
91,1819.988,1786876953849.475,11741667.410,0.000000000,0.000000000
92,1839.988,1786876953869.475,11741687.410,0.000000000,0.000000000
93,1859.987,1786876953889.474,11741707.409,0.000000000,0.000000000
94,1879.986,1786876953909.473,11741727.408,0.000000000,0.000000000
95,1899.986,1786876953929.474,11741747.409,0.000000000,0.000000000
96,1919.986,1786876953949.474,11741767.409,0.000000000,0.000000000
97,1939.987,1786876953969.474,11741787.409,0.000000000,0.000000000
98,1959.986,1786876953989.474,11741807.409,0.000000000,0.000000000
99,1979.988,1786876954009.476,11741827.411,0.000000000,0.000000000
100,1999.988,1786876954029.476,11741847.410,0.000000000,0.000000000
101,2019.989,1786876954049.476,11741867.411,0.000000000,0.000000000
102,2039.989,1786876954069.476,11741887.411,0.000000000,0.000000000
103,2059.987,1786876954089.475,11741907.410,0.000000000,0.000000000
104,2079.988,1786876954109.475,11741927.410,0.000000000,0.000000000
105,2099.989,1786876954129.476,11741947.411,0.000000000,0.000000000
106,2119.991,1786876954149.478,11741967.413,0.000000000,0.000000000
107,2139.988,1786876954169.475,11741987.410,0.000000000,0.000000000
108,2159.988,1786876954189.475,11742007.410,0.000000000,0.000000000
109,2179.988,1786876954209.475,11742027.410,0.000000000,0.000000000
110,2199.988,1786876954229.475,11742047.410,0.000000000,0.000000000
111,2219.988,1786876954249.475,11742067.410,0.000000000,0.000000000
112,2239.987,1786876954269.474,11742087.409,0.000000000,0.000000000
113,2259.987,1786876954289.475,11742107.410,0.000000000,0.000000000
114,2279.988,1786876954309.475,11742127.410,0.000000000,0.000000000
115,2299.988,1786876954329.475,11742147.410,0.000000000,0.000000000
116,2320.006,1786876954349.493,11742167.428,0.000000000,0.000000000
117,2339.990,1786876954369.478,11742187.413,0.000000000,0.000000000
118,2359.995,1786876954389.482,11742207.417,0.000000000,0.000000000
119,2380.022,1786876954409.509,11742227.444,0.000000000,0.000000000
120,2400.023,1786876954429.510,11742247.446,0.000000000,0.000000000
121,2419.993,1786876954449.480,11742267.415,0.000000000,0.000000000
