index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,encoder_mode_0
142,2839.989,1786879695933.456,14483751.391,0.000000000,0.000000000
143,2859.991,1786879695953.458,14483771.393,0.000000000,0.000000000
144,2879.989,1786879695973.456,14483791.391,0.000000000,0.000000000
145,2899.991,1786879695993.458,14483811.393,0.000000000,0.000000000
146,2919.991,1786879696013.458,14483831.393,0.000000000,0.000000000
147,2939.993,1786879696033.460,14483851.395,0.000000000,0.000000000
148,2959.993,1786879696053.460,14483871.395,0.000000000,0.000000000
149,2979.991,1786879696073.458,14483891.393,0.000000000,0.000000000
150,2999.990,1786879696093.457,14483911.392,0.000000000,0.000000000
151,3019.990,1786879696113.457,14483931.392,0.000000000,0.000000000
152,3039.991,1786879696133.458,14483951.393,0.000000000,0.000000000
153,3059.995,1786879696153.462,14483971.397,0.000000000,0.000000000
154,3079.992,1786879696173.459,14483991.394,0.000000000,0.000000000
155,3099.996,1786879696193.463,14484011.398,0.000000000,0.000000000
156,3119.998,1786879696213.465,14484031.399,0.000000000,0.000000000
157,3139.995,1786879696233.462,14484051.397,0.000000000,0.000000000
158,3159.995,1786879696253.462,14484071.397,0.000000000,0.000000000
159,3179.995,1786879696273.462,14484091.397,0.000000000,0.000000000
160,3199.994,1786879696293.460,14484111.395,0.000000000,0.000000000
161,3219.994,1786879696313.461,14484131.396,0.000000000,0.000000000
162,3239.993,1786879696333.460,14484151.395,0.000000000,0.000000000
163,3259.991,1786879696353.458,14484171.393,0.000000000,0.000000000
164,3279.993,1786879696373.460,14484191.395,0.000000000,0.000000000
165,3299.992,1786879696393.459,14484211.394,0.000000000,0.000000000
166,3319.991,1786879696413.458,14484231.392,0.000000000,0.000000000
167,3339.991,1786879696433.458,14484251.393,0.000000000,0.000000000
168,3359.992,1786879696453.458,14484271.393,0.000000000,0.000000000
169,3379.990,1786879696473.457,14484291.391,0.000000000,0.000000000
170,3399.990,1786879696493.457,14484311.392,0.000000000,0.000000000
171,3419.992,1786879696513.459,14484331.394,0.000000000,0.000000000
172,3439.991,1786879696533.458,14484351.393,0.000000000,0.000000000
173,3459.990,1786879696553.457,14484371.392,0.000000000,0.000000000
174,3479.996,1786879696573.463,14484391.398,0.000000000,0.000000000
175,3499.994,1786879696593.460,14484411.395,0.000000000,0.000000000
176,3519.994,1786879696613.461,14484431.396,0.000000000,0.000000000
177,3539.994,1786879696633.460,14484451.395,0.000000000,0.000000000
178,3559.990,1786879696653.457,14484471.392,0.000000000,0.000000000
179,3579.993,1786879696673.460,14484491.395,0.000000000,0.000000000
180,3599.991,1786879696693.458,14484511.393,0.000000000,0.000000000
181,3619.990,1786879696713.457,14484531.392,0.000000000,0.000000000
182,3639.992,1786879696733.458,14484551.393,0.000000000,0.000000000
183,3659.990,1786879696753.457,14484571.391,0.000000000,0.000000000
184,3679.991,1786879696773.458,14484591.393,0.000000000,0.000000000
185,3699.990,1786879696793.457,14484611.392,0.000000000,0.000000000
186,3719.989,1786879696813.456,14484631.391,0.000000000,0.000000000
187,3739.990,1786879696833.457,14484651.391,0.000000000,0.000000000
188,3759.990,1786879696853.457,14484671.392,0.000000000,0.000000000
189,3779.991,1786879696873.458,14484691.393,0.000000000,0.000000000
190,3799.991,1786879696893.458,14484711.393,0.000000000,0.000000000
191,3819.990,1786879696913.457,14484731.392,0.000000000,0.000000000
192,3839.990,1786879696933.457,14484751.392,0.000000000,0.000000000
193,3859.991,1786879696953.458,14484771.393,0.000000000,0.000000000
194,3879.995,1786879696973.461,14484791.396,0.000000000,0.000000000
195,3899.992,1786879696993.459,14484811.394,0.000000000,0.000000000
196,3919.992,1786879697013.458,14484831.394,0.000000000,0.000000000
197,3939.992,1786879697033.459,14484851.394,0.000000000,0.000000000
198,3959.993,1786879697053.459,14484871.394,0.000000000,0.000000000
199,3979.993,1786879697073.460,14484891.395,0.000000000,0.000000000
200,3999.991,1786879697093.458,14484911.393,0.000000000,0.000000000
201,4019.992,1786879697113.458,14484931.394,0.000000000,0.000000000
202,4039.993,1786879697133.460,14484951.395,0.000000000,0.000000000
203,4059.992,1786879697153.459,14484971.394,0.000000000,0.000000000
204,4079.991,1786879697173.458,14484991.393,0.000000000,0.000000000
205,4099.990,1786879697193.457,14485011.392,0.000000000,0.000000000
206,4119.991,1786879697213.457,14485031.392,0.000000000,0.000000000
207,4139.990,1786879697233.457,14485051.392,0.000000000,0.000000000
208,4159.991,1786879697253.458,14485071.393,0.000000000,0.000000000
209,4179.991,1786879697273.458,14485091.393,0.000000000,0.000000000
210,4199.990,1786879697293.457,14485111.392,0.000000000,0.000000000
211,4219.990,1786879697313.456,14485131.391,0.000000000,0.000000000
212,4239.989,1786879697333.456,14485151.391,0.000000000,0.000000000
213,4259.993,1786879697353.460,14485171.395,0.000000000,0.000000000
214,4279.989,1786879697373.456,14485191.391,0.000000000,0.000000000
215,4299.991,1786879697393.458,14485211.393,0.000000000,0.000000000
216,4319.995,1786879697413.462,14485231.397,0.000000000,0.000000000
217,4339.994,1786879697433.461,14485251.396,0.000000000,0.000000000
218,4359.995,1786879697453.461,14485271.396,0.000000000,0.000000000
219,4379.994,1786879697473.460,14485291.395,0.000000000,0.000000000
220,4399.993,1786879697493.460,14485311.395,0.000000000,0.000000000
221,4419.994,1786879697513.461,14485331.396,0.000000000,0.000000000
222,4439.992,1786879697533.459,14485351.394,0.000000000,0.000000000
223,4459.992,1786879697553.458,14485371.394,0.000000000,0.000000000
224,4479.990,1786879697573.457,14485391.392,0.000000000,0.000000000
225,4499.990,1786879697593.457,14485411.392,0.000000000,0.000000000
226,4519.990,1786879697613.457,14485431.392,0.000000000,0.000000000
227,4539.989,1786879697633.456,14485451.391,0.000000000,0.000000000
228,4559.990,1786879697653.457,14485471.392,0.000000000,0.000000000
229,4579.990,1786879697673.457,14485491.391,0.000000000,0.000000000
230,4599.991,1786879697693.458,14485511.393,0.000000000,0.000000000
231,4619.992,1786879697713.459,14485531.394,0.000000000,0.000000000
232,4639.992,1786879697733.459,14485551.394,0.000000000,0.000000000
233,4659.992,1786879697753.459,14485571.394,0.000000000,0.000000000
234,4679.993,1786879697773.460,14485591.395,0.000000000,0.000000000
235,4699.994,1786879697793.461,14485611.396,0.000000000,0.000000000
236,4719.991,1786879697813.458,14485631.393,0.000000000,0.000000000
237,4739.994,1786879697833.461,14485651.396,0.000000000,0.000000000
238,4759.992,1786879697853.459,14485671.394,0.000000000,0.000000000
239,4779.994,1786879697873.460,14485691.395,0.000000000,0.000000000
240,4799.991,1786879697893.458,14485711.393,0.000000000,0.000000000
241,4819.992,1786879697913.458,14485731.393,0.000000000,0.000000000
242,4839.991,1786879697933.457,14485751.392,0.000000000,0.000000000
243,4859.992,1786879697953.459,14485771.394,0.000000000,0.000000000
244,4879.989,1786879697973.456,14485791.391,0.000000000,0.000000000
245,4899.993,1786879697993.460,14485811.395,0.000000000,0.000000000
246,4919.990,1786879698013.457,14485831.392,0.000000000,0.000000000
247,4939.989,1786879698033.456,14485851.391,0.000000000,0.000000000
248,4959.991,1786879698053.457,14485871.392,0.000000000,0.000000000
249,4979.990,1786879698073.457,14485891.392,0.000000000,0.000000000
250,4999.989,1786879698093.456,14485911.391,0.000000000,0.000000000
251,5019.989,1786879698113.456,14485931.391,0.000000000,0.000000000
252,5039.991,1786879698133.458,14485951.393,0.000000000,0.000000000
253,5059.991,1786879698153.457,14485971.392,0.000000000,0.000000000
254,5079.989,1786879698173.456,14485991.391,0.000000000,0.000000000
255,5099.990,1786879698193.457,14486011.391,0.000000000,0.000000000
256,5119.990,1786879698213.457,14486031.392,0.000000000,0.000000000
257,5139.993,1786879698233.460,14486051.395,0.000000000,0.000000000
258,5159.993,1786879698253.460,14486071.395,0.000000000,0.000000000
259,5179.993,1786879698273.459,14486091.394,0.000000000,0.000000000
260,5199.992,1786879698293.459,14486111.394,0.000000000,0.000000000
261,5219.993,1786879698313.459,14486131.394,0.000000000,0.000000000
262,5239.991,1786879698333.458,14486151.393,0.000000000,0.000000000
263,5259.992,1786879698353.459,14486171.394,0.000000000,0.000000000
264,5279.992,1786879698373.459,14486191.394,0.000000000,0.000000000
265,5299.992,1786879698393.458,14486211.393,0.000000000,0.000000000
266,5319.992,1786879698413.459,14486231.394,0.000000000,0.000000000
267,5339.991,1786879698433.458,14486251.392,0.000000000,0.000000000
268,5359.991,1786879698453.458,14486271.393,0.000000000,0.000000000
269,5379.990,1786879698473.457,14486291.392,0.000000000,0.000000000
270,5399.990,1786879698493.457,14486311.392,0.000000000,0.000000000
271,5419.991,1786879698513.458,14486331.393,0.000000000,0.000000000
272,5439.995,1786879698533.461,14486351.396,0.000000000,0.000000000
273,5459.993,1786879698553.460,14486371.395,0.000000000,0.000000000
274,5479.994,1786879698573.461,14486391.396,0.000000000,0.000000000
275,5499.995,1786879698593.461,14486411.396,0.000000000,0.000000000
276,5519.991,1786879698613.458,14486431.393,0.000000000,0.000000000
277,5539.993,1786879698633.460,14486451.395,0.000000000,0.000000000
278,5559.991,1786879698653.458,14486471.393,0.000000000,0.000000000
279,5579.993,1786879698673.460,14486491.395,0.000000000,0.000000000
280,5599.992,1786879698693.459,14486511.394,0.000000000,0.000000000
281,5619.996,1786879698713.462,14486531.397,0.000000000,0.000000000
282,5639.992,1786879698733.459,14486551.394,0.000000000,0.000000000
283,5659.993,1786879698753.459,14486571.394,0.000000000,0.000000000
284,5679.990,1786879698773.457,14486591.392,0.000000000,0.000000000
285,5699.990,1786879698793.457,14486611.392,0.000000000,0.000000000
286,5719.991,1786879698813.458,14486631.393,0.000000000,0.000000000
287,5739.992,1786879698833.459,14486651.394,0.000000000,0.000000000
288,5759.991,1786879698853.458,14486671.393,0.000000000,0.000000000
289,5779.992,1786879698873.458,14486691.394,0.000000000,0.000000000
290,5799.996,1786879698893.463,14486711.398,0.000000000,0.000000000
291,5819.993,1786879698913.460,14486731.395,0.000000000,0.000000000
292,5839.992,1786879698933.458,14486751.394,0.000000000,0.000000000
293,5859.991,1786879698953.458,14486771.393,0.000000000,0.000000000
294,5879.991,1786879698973.458,14486791.392,0.000000000,0.000000000
295,5899.990,1786879698993.457,14486811.392,0.000000000,0.000000000
296,5919.991,1786879699013.458,14486831.393,0.000000000,0.000000000
297,5939.993,1786879699033.460,14486851.395,0.000000000,0.000000000
298,5959.992,1786879699053.458,14486871.394,0.000000000,0.000000000
299,5979.993,1786879699073.460,14486891.395,0.000000000,0.000000000
300,5999.991,1786879699093.458,14486911.393,0.000000000,0.000000000
301,6019.991,1786879699113.458,14486931.393,0.000000000,0.000000000
302,6039.992,1786879699133.459,14486951.394,0.000000000,0.000000000
303,6059.993,1786879699153.460,14486971.395,0.000000000,0.000000000
304,6079.995,1786879699173.462,14486991.397,0.000000000,0.000000000
305,6099.995,1786879699193.462,14487011.397,0.000000000,0.000000000
306,6119.996,1786879699213.463,14487031.398,0.000000000,0.000000000
307,6139.995,1786879699233.462,14487051.397,0.000000000,0.000000000
308,6159.994,1786879699253.460,14487071.395,0.000000000,0.000000000
309,6179.994,1786879699273.461,14487091.396,0.000000000,0.000000000
310,6199.993,1786879699293.460,14487111.395,0.000000000,0.000000000
311,6219.993,1786879699313.460,14487131.395,0.000000000,0.000000000
312,6239.994,1786879699333.461,14487151.396,0.000000000,0.000000000
313,6259.993,1786879699353.460,14487171.395,0.000000000,0.000000000
314,6279.992,1786879699373.458,14487191.394,0.000000000,0.000000000
315,6299.992,1786879699393.458,14487211.394,0.000000000,0.000000000
316,6319.993,1786879699413.460,14487231.395,0.000000000,0.000000000
317,6339.991,1786879699433.458,14487251.393,0.000000000,0.000000000
318,6359.995,1786879699453.462,14487271.397,0.000000000,0.000000000
319,6379.995,1786879699473.462,14487291.397,0.000000000,0.000000000
320,6399.994,1786879699493.461,14487311.396,0.000000000,0.000000000
321,6419.995,1786879699513.462,14487331.397,0.000000000,0.000000000
322,6439.997,1786879699533.464,14487351.399,0.000000000,0.000000000
323,6459.997,1786879699553.464,14487371.399,0.000000000,0.000000000
324,6479.996,1786879699573.462,14487391.397,0.000000000,0.000000000
325,6499.993,1786879699593.460,14487411.395,0.000000000,0.000000000
326,6519.993,1786879699613.460,14487431.395,0.000000000,0.000000000
327,6539.993,1786879699633.460,14487451.395,0.000000000,0.000000000
328,6559.989,1786879699653.456,14487471.391,0.000000000,0.000000000
329,6579.991,1786879699673.458,14487491.393,0.000000000,0.000000000
330,6600.014,1786879699693.481,14487511.416,0.000000000,0.000000000
331,6620.011,1786879699713.478,14487531.413,0.000000000,0.000000000
332,6639.993,1786879699733.460,14487551.395,0.000000000,0.000000000
333,6659.994,1786879699753.461,14487571.396,0.000000000,0.000000000
334,6679.992,1786879699773.459,14487591.394,0.000000000,0.000000000
