index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
37,739.986,1786880068905.601,14856723.536,0.000000000,33.822944641,22.352354050,-11.146289825,9.295069695,17.756828308,5.017108917,-33.334995270,-22.930227280,13.266155243,-39.902374268,-8.385333061,-0.303425550,-15.015055656,11.531463623,-5.707580090,-1.778544784,-0.141162634,-0.799584806,-2.354756117,0.696688771,-0.898179471,-0.015030420,1.022821069,-0.010681513,-0.971085727,-2.536176205,0.075161792,-1.221099734,-0.695972323
38,759.986,1786880068925.601,14856743.536,0.000000000,29.883415222,8.765205383,-1.893453002,16.048671722,15.413509369,3.888215780,-20.315385818,-16.333818436,9.796110153,-19.381196976,-1.051466584,-0.250216722,-11.134377480,10.172649384,-8.371111870,-2.034816980,0.267075598,0.462684631,-2.912576199,0.248643383,-0.813064396,-0.137509763,2.326595068,-0.421011150,-0.847879469,-1.407970190,-0.057013508,-0.562078297,-0.603372574
39,779.985,1786880068945.599,14856763.534,0.000000000,13.262789726,0.322654903,3.892441750,8.644813538,10.948728561,2.600661755,4.343359470,-1.565697670,2.840594053,3.436174393,2.435000181,-0.206174031,-5.557974815,5.703596115,-11.532248497,-2.632528305,0.292207599,0.944007635,-2.310553789,-0.008530462,-0.868201613,0.115531810,1.927509069,-0.113120228,0.079767853,-0.365741491,-0.232868776,-0.155763745,-0.268496007
40,799.983,1786880068965.598,14856783.533,0.000000000,-0.086956739,-10.104928970,9.024682999,-0.785753131,5.576170921,1.228559375,18.304494858,8.927215576,-4.352849960,6.921148300,7.556984901,-0.122070789,3.832417250,-2.962346792,-13.622179031,-2.394826889,-0.020471677,1.197084904,-1.765329599,-0.359284222,-0.757835388,0.406130046,0.479783058,0.214102760,1.045912862,-0.024102515,-0.078760296,-0.038330100,0.083728738
41,819.983,1786880068985.597,14856803.532,0.000000000,-5.238171101,-22.573352814,15.636320114,-10.607643127,5.128314495,0.981804132,19.611120224,5.648953915,-2.300036907,-49.090938568,39.436737061,-6.266095161,11.410151482,-10.365432739,-18.230844498,-0.856954277,0.842795789,1.343309999,-2.782569408,-0.482876837,-0.874981999,0.851283133,-1.260031462,0.059856061,0.833542526,-1.710170031,-0.120277517,-0.210866556,0.201875821
42,839.984,1786880069005.598,14856823.533,0.000000000,-2.254038334,-27.006826401,16.944068909,-6.228572845,7.137524128,0.509792745,19.777019501,6.047624588,0.284841597,-49.032024384,49.066478729,-4.485198975,10.010112762,-11.095680237,-19.503992081,0.259794384,1.938272476,1.708898187,-3.860821486,0.052366450,-1.349478841,1.032954812,-2.906054974,-0.250373960,0.109965228,-3.934431791,-0.173357889,-0.673822522,-0.041044679
43,859.983,1786880069025.598,14856843.533,0.000000000,-4.377808571,-25.578489304,18.157119751,-0.114140972,6.690448284,0.244882852,26.117532730,3.603460073,5.086504459,-51.686466217,49.993511200,-5.030800343,6.866124153,-8.276165962,-20.615163803,0.493954718,3.056327820,1.695677757,-3.843711138,0.055736165,-1.615621209,0.863660991,-3.581427813,0.078306727,-0.303799003,-4.800276756,0.057694111,-1.229990244,-0.385847926
44,879.983,1786880069045.597,14856863.532,0.000000000,-6.522837639,-25.150014877,18.980045319,-2.438475609,4.336882114,-0.379586309,25.458332062,3.238999844,4.965977669,-42.558925629,48.231472015,-4.503142357,4.198675632,-6.582136154,-18.064428329,0.673221350,3.412642002,1.537544250,-3.297446966,-0.182177231,-1.419300795,0.645411670,-2.861726522,0.693416178,-0.070769213,-4.878143787,0.201796338,-1.487748265,-0.573683381
45,899.987,1786880069065.602,14856883.537,0.000000000,-6.565536499,-22.883617401,17.777378082,-1.728246093,3.334184170,-0.542990446,24.565542221,2.838669062,4.947256565,-34.869697571,45.942867279,-3.896967173,3.039061069,-6.611927032,-16.342277527,0.825231016,3.332969427,1.245914221,-2.530241251,-0.306987613,-1.219381571,0.525257170,-2.456671715,0.724767566,-0.164879873,-4.681097984,0.273673594,-1.428061724,-0.589425266
46,919.984,1786880069085.599,14856903.534,0.000000000,-4.033518791,-20.521347046,15.035439491,-1.589414477,3.407767296,-0.560799897,20.848180771,3.317090988,3.634745359,-30.611919403,40.935985565,-3.862240791,3.148024559,-5.090561390,-15.180176735,1.158209324,2.801460266,0.842248023,-1.920698166,-0.336397886,-0.941657901,0.445936561,-2.659900665,0.649229109,-0.284724534,-4.545134068,0.092485845,-1.189737916,-0.551914871
