index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
172,3439.968,1786879837647.452,14625465.387,0.000000000,-0.815064013,-0.628371418,-0.038301229,-0.204335064,-0.042330824,0.279435009,-0.234430432,-0.174074978,-0.576385558,1.586763978,1.085394382,-0.049632262,-0.565651178,0.739140213,0.695762336,0.944309890,-0.459596694,-0.451443315,-0.671308219,-0.806893647,0.348418832,-2.032616377,-2.011356354,1.020060062,-2.639878273,-12.031689644,-5.225903988,10.672485352,1.715244770
173,3459.970,1786879837667.454,14625485.388,0.000000000,-0.819415927,-0.606994629,-0.033714458,-0.187187910,-0.039134704,0.260394156,-0.227562964,-0.167190880,-0.576899469,1.595336556,1.078171253,-0.033621561,-0.582001686,0.785941899,0.710967839,0.962862313,-0.443608850,-0.448418319,-0.673322976,-0.805436552,0.341454208,-2.033951759,-2.011176109,1.034264207,-2.638900757,-12.042271614,-5.245015621,10.671613693,1.756395936
174,3479.969,1786879837687.453,14625505.388,0.000000000,-0.824116826,-0.597585738,-0.030539423,-0.179682791,-0.039697371,0.245102406,-0.227482289,-0.162753433,-0.579580188,1.599838138,1.075236917,-0.024163138,-0.591235995,0.821908355,0.716040075,0.971322834,-0.441669196,-0.445610702,-0.672644854,-0.803062856,0.337636590,-2.033087730,-2.015767813,1.035875440,-2.642655134,-12.045327187,-5.262059212,10.672166824,1.786068797
175,3499.969,1786879837707.453,14625525.388,0.000000000,-0.833269298,-0.586780488,-0.051168159,-0.182523727,-0.041646086,0.243572325,-0.221891195,-0.147200942,-0.570931017,1.590521693,1.068823695,-0.015428197,-0.594626069,0.829178691,0.696102500,0.977394640,-0.435220003,-0.446828365,-0.678031147,-0.798702478,0.319237947,-2.026561260,-2.028972387,1.039204717,-2.659699678,-12.056580544,-5.284736156,10.661625862,1.802605271
176,3519.968,1786879837727.452,14625545.387,0.000000000,-0.854557455,-0.596105218,-0.062093601,-0.190710843,-0.049107872,0.227034360,-0.211199075,-0.138003111,-0.567289591,1.595532060,1.057361722,-0.029376518,-0.597959995,0.826954722,0.692603707,0.977896690,-0.428094029,-0.443371713,-0.687450409,-0.804978967,0.312408566,-2.055797577,-2.039781570,1.038734555,-2.674341679,-12.051717758,-5.301661015,10.662161827,1.812487483
177,3539.967,1786879837747.451,14625565.386,0.000000000,-0.864341080,-0.594418347,-0.069440633,-0.179794341,-0.050770245,0.180342197,-0.214611024,-0.152151257,-0.575137854,1.604541659,1.039485097,-0.042644154,-0.566812038,0.848033905,0.710551560,0.952504694,-0.392678440,-0.439029753,-0.692347050,-0.813348770,0.311509013,-2.082902431,-2.028728247,1.029933453,-2.679948330,-12.036084175,-5.312079430,10.628645897,1.799570322
178,3559.969,1786879837767.453,14625585.388,0.000000000,-0.871994853,-0.600761652,-0.060540929,-0.173806101,-0.047646247,0.163589537,-0.210422218,-0.158422917,-0.595344961,1.595518470,1.027971864,-0.039865028,-0.562466264,0.832655072,0.685332954,0.948024094,-0.380415708,-0.437353611,-0.694112301,-0.810720146,0.321836770,-2.084311962,-2.025979519,1.026233077,-2.687648535,-12.022342682,-5.324915409,10.611782074,1.788478494
179,3579.972,1786879837787.456,14625605.391,0.000000000,-0.885392070,-0.596923828,-0.061616644,-0.162408710,-0.046088420,0.169316471,-0.216473669,-0.161283702,-0.584876657,1.601215243,1.037746549,-0.031987917,-0.579929948,0.772724986,0.621518314,0.935596704,-0.369894326,-0.436664999,-0.687426925,-0.810548007,0.324806511,-2.068586826,-2.028454781,1.028235555,-2.686889887,-12.003262520,-5.345443249,10.600674629,1.777769685
180,3599.974,1786879837807.458,14625625.393,0.000000000,-0.892394245,-0.603281140,-0.063373506,-0.157846719,-0.047490619,0.182630241,-0.217097729,-0.168526649,-0.566146731,1.591936231,1.044247270,-0.023378383,-0.586702585,0.715052247,0.558171213,0.934989035,-0.365720630,-0.437446058,-0.680989802,-0.808745086,0.325245857,-2.050584316,-2.026846170,1.028385639,-2.686180353,-11.984819412,-5.368281841,10.589745522,1.765995383
181,3619.973,1786879837827.457,14625645.392,0.000000000,-0.888472378,-0.610618412,-0.070463687,-0.162756830,-0.055721931,0.192589998,-0.222819775,-0.184932351,-0.542812407,1.583062768,1.044217467,-0.037679207,-0.589917541,0.645929337,0.499551773,0.932858229,-0.384037286,-0.437750399,-0.675890505,-0.794366539,0.317816436,-2.023133039,-2.017763138,1.027995348,-2.668050766,-11.953905106,-5.386230469,10.574393272,1.755326271
