index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
697,13939.988,1786751919456.019,28877378.419,0.000000000,19.805700302,8.567559242,-10.994884491,-1.261764884,31.340101242,-6.113159180,-6.068121910,-4.680050373,-5.947713375,-4.333498001,14.139180183,-1.348912716,14.391108513,8.928063393,-15.087964058,-1.077819824,0.197245717,0.378152877,-0.289401442,-0.033316035,0.251043558,0.092132822,-10.400277138,5.874053955,3.238276720,-8.700215340,0.634301841,-3.424873352,0.946807146
698,13959.992,1786751919476.022,28877398.423,0.000000000,0.750061214,72.514511108,-51.007152557,25.653886795,-0.776846230,1.594619393,5.038977146,-58.261016846,21.694252014,-27.225194931,-4.449039459,-9.097262383,13.775352478,-11.533233643,-8.823636055,-3.958974361,4.264801502,0.967441261,-1.573510647,0.811433434,-0.581558704,0.854539812,-9.066865921,4.426373959,2.426719666,-6.562508106,0.310027540,-2.895560503,0.616773784
699,13979.990,1786751919496.021,28877418.421,0.000000000,-22.683843613,48.334274292,-22.006244659,-10.206007957,-0.845522344,0.303267032,12.630387306,-69.911102295,32.108760834,-103.051521301,5.129697323,-25.725963593,12.022538185,-15.708968163,2.964949608,-2.928991795,6.344159603,3.648506165,-1.785399556,1.877353668,-0.871580362,1.189788461,-8.410890579,3.424865484,5.189534187,-5.724644661,-0.899114370,-2.352114916,0.876409411
700,13999.990,1786751919516.021,28877438.421,0.000000000,-27.629270554,-5.314774036,13.358612061,-33.397193909,-1.041931868,-0.779651105,10.620449066,-23.832559586,21.915876389,-90.515625000,-18.075183868,-19.774353027,5.994686127,0.326538324,10.476887703,-2.327638865,4.407318592,5.369505882,-2.118731022,0.271704793,-1.034013271,1.115045547,-6.418349743,0.310128272,3.441436052,-6.538210869,-0.775773823,-2.218438148,0.721632719
701,14019.991,1786751919536.022,28877458.422,0.000000000,-25.213357925,-38.540607452,24.656316757,-25.281898499,-0.598341167,-0.956822336,11.045585632,8.010586739,4.905035973,-45.511756897,-23.128755569,-10.040259361,7.006482124,17.907499313,6.344460487,0.453202248,0.804597020,2.612952232,-1.698340058,-0.704639614,-0.994934022,0.663016200,-5.497399807,-1.652699828,-0.140527591,-6.206241608,-0.522152364,-1.962432146,0.181601614
702,14039.995,1786751919556.025,28877478.425,0.000000000,-16.712854385,-50.614795685,22.799972534,-14.431132317,0.374223560,-1.414172053,56.421699524,29.311075211,-0.812337637,58.278194427,2.071196795,-8.263519287,13.968569756,23.916412354,-11.938047409,3.655481815,-3.139472961,-1.474877954,-3.226291180,-0.449558496,-0.847967088,-0.314515233,-5.001599312,-2.798212528,-1.145075798,-4.582645416,-0.111240752,-1.376917958,-0.197078928
703,14059.995,1786751919576.026,28877498.426,0.000000000,16.100757599,-34.144840240,3.435323715,5.095085621,1.390855312,-0.555718541,32.251342773,14.961404800,-8.109593391,11.017888069,0.470251143,-0.088863991,33.858940125,-0.625150919,-36.609912872,5.832480907,-4.160226822,-2.283396959,-1.837787867,-0.299123287,-1.203713536,-0.369542748,-6.417397499,-0.111375384,0.249935061,-3.774535656,-0.303185076,-0.860420525,-0.393730342
704,14079.994,1786751919596.024,28877518.425,0.000000000,15.939921379,-13.631271362,8.519281387,-46.086013794,24.171674728,7.682935715,15.187604904,11.862995148,-16.682306290,-21.530069351,-2.992941380,0.423831284,24.801485062,-16.658353806,-34.351215363,2.849965334,-3.100465775,0.025220748,-2.498100996,-0.873894334,-1.077772379,-0.068462789,-10.151014328,0.382403463,0.726348341,-4.574944019,0.739305615,-0.921344280,-0.090691485
705,14099.994,1786751919616.024,28877538.424,0.000000000,5.047146797,-12.797997475,13.854155540,-46.709976196,16.939163208,6.881322861,3.438600302,16.571886063,-17.363584518,-8.141951561,-0.642695606,0.329462230,2.871109247,-5.193079472,-15.535742760,-3.794185162,-1.998599648,-0.328402877,-5.715743542,-0.309396774,-1.712747693,-0.523500562,-11.295605659,-2.826791048,-3.592882872,-5.558687210,0.520018578,-1.707286835,-0.727528155
706,14119.992,1786751919636.023,28877558.423,0.000000000,1.297192693,-2.707980871,12.039779663,-12.889043808,5.579368114,1.903216958,-10.455104828,12.743328094,-16.523885727,2.078618526,10.868041992,1.800362349,-7.781450272,5.800919533,2.639030457,-9.155977249,-1.471739531,-1.224140406,-7.398633003,-0.125764310,-2.213440895,-0.881105661,-10.576230049,-6.616291523,-7.552825928,-5.173150063,-0.354714185,-1.922938347,-1.341850877
707,14139.994,1786751919656.025,28877578.425,0.000000000,12.980432510,9.426228523,4.701006413,-0.531343818,1.704233408,0.240327120,-35.262470245,0.034422010,-38.961181641,-30.763000488,-8.510272980,-5.376924515,-2.521935463,-2.302623272,15.869916916,-10.185688019,1.894829869,1.018906713,-5.513642311,0.137819737,-2.044841766,-0.544469118,-9.798550606,-8.791682243,-8.391336441,-3.333948374,-0.104499571,-1.237084985,-1.510786295
708,14159.992,1786751919676.022,28877598.422,0.000000000,16.350076675,16.930557251,-2.852896452,16.173139572,5.190342426,0.497168869,-40.367279053,-5.039557934,-21.945730209,-104.578742981,-25.827190399,-11.818715096,11.834240913,-15.764534950,11.803705215,-8.052227020,5.900433064,3.302530050,-3.894612074,0.588919878,-1.774559617,0.342011005,-9.511456490,-6.096932411,-4.502042294,-1.683318853,0.423015505,-0.357769430,-0.932826459
709,14179.993,1786751919696.023,28877618.423,0.000000000,-3.736155748,12.922575951,-8.840604782,11.901576996,0.615932643,-0.012464337,-15.738812447,-8.200461388,2.456865311,-139.000000000,-34.079067230,-17.797813416,18.016984940,-28.587030411,9.485960007,-4.422158718,10.283121109,6.553328037,-1.499236584,0.990095437,-1.529850602,1.274843335,-7.624780655,-2.316056967,-1.279481292,-0.450553775,0.257091939,-0.219990149,-0.328095108
