index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26,act_27,act_28
623,12459.996,1786751917976.026,28875898.426,0.000000000,-2.544271231,-0.674032092,3.233152866,1.303351760,-0.742888570,-0.489159346,-0.293056339,-0.438984275,0.955086529,2.561764002,2.379630804,3.085137367,-1.393135667,1.267951250,-0.698525190,2.096500158,-2.532742023,-0.330452353,0.520660400,-0.099194527,0.074188955,4.397220135,-0.225519583,0.211867630,-0.263676316,4.042702675,-6.416136742,2.321233034,-5.061107159
624,12479.992,1786751917996.022,28875918.422,0.000000000,-2.753906012,-0.248490706,2.025403261,1.448565125,-0.321026087,-0.870916963,-0.230472296,0.473140359,1.796844125,2.108475685,-1.700900793,2.162001848,-1.633582711,0.506544709,-2.367109537,2.068622351,-3.384828091,-0.346019626,0.870390058,0.037574049,-0.325808734,3.935767889,-0.050737310,0.148879081,-0.005132183,3.230188131,-6.450235844,3.265113115,-5.489953518
625,12499.993,1786751918016.023,28875938.423,0.000000000,-2.182696104,0.484447122,0.388706326,1.274996877,-1.028638244,-0.476450086,-0.944974959,-0.818254530,1.301183343,2.183804512,-1.178632021,0.790630102,-1.321282625,0.991581023,-1.518139243,2.721258640,-3.343033552,-0.167141676,0.811557055,-0.125855118,-0.153412282,3.149030447,-0.202953205,-0.089175276,0.413463533,2.611366987,-6.100721836,3.026683569,-4.978788376
626,12519.990,1786751918036.021,28875958.421,0.000000000,-1.907921553,1.790841818,-0.508867443,0.661640644,-1.290530324,0.238087907,-0.598470747,-0.373060256,-0.365912408,2.709348440,-0.690679312,0.542593479,-1.315009594,0.641681552,-1.128612757,2.462980986,-2.390664816,-0.073872201,0.985570312,-0.065163046,0.197255373,2.146235704,-0.426470041,0.073014565,0.571009934,1.384752870,-5.787023067,2.406837940,-4.327351093
627,12539.991,1786751918056.022,28875978.422,0.000000000,-1.049931407,0.259732008,-1.283302188,2.408182859,-1.616942525,2.090584755,-2.475095510,2.581809044,0.155563876,2.403789997,3.297753334,0.082531989,-1.721027374,0.592615128,0.233553514,1.495701432,-1.666728616,-0.282379866,0.121758528,0.131634027,0.333793521,1.371788740,-0.917029917,0.382108480,0.700598121,0.106577769,-4.900766373,0.925840855,-4.081766129
628,12559.991,1786751918076.021,28875998.421,0.000000000,-1.939839840,-0.186341807,-1.232516766,2.035738945,-0.965224683,0.973523378,-2.173575640,1.819120049,-0.733863235,1.006784320,2.852968454,-0.352916032,-1.630749106,1.586556077,-0.803194642,1.285084009,-1.848219395,-0.013955913,0.330976725,0.618360519,1.097163200,0.592633188,-0.719508946,0.217398971,0.611873865,-1.208129644,-3.340633392,-0.625461698,-5.588666439
629,12579.988,1786751918096.019,28876018.419,0.000000000,-2.294628620,-0.290189952,-1.317693949,1.557374716,-0.461801708,0.835855603,-0.103828885,1.470924497,-0.902741373,2.478133678,2.207730293,-0.634873152,-2.076783657,1.689898729,-0.131079122,1.026260972,-2.451373577,0.023504741,0.521291792,1.172250152,1.587196231,-0.165296793,-1.190505743,0.177226305,0.524911880,-2.632705212,-1.939893007,-1.804599166,-6.803374767
630,12599.989,1786751918116.020,28876038.420,0.000000000,-2.595615625,-0.477995187,-1.328342676,1.178115487,0.292355895,0.116281033,0.178593457,1.441325665,-0.795564532,3.602898598,2.402497292,-0.542734385,-2.731198549,1.150272131,-0.006506303,0.974210978,-2.477962494,0.075556614,0.465419143,1.435838461,1.697934985,-0.570373833,-1.294823289,-0.068187125,0.838740349,-3.696513653,-0.776161134,-2.630096674,-7.911829472
631,12619.989,1786751918136.020,28876058.420,0.000000000,-2.643359423,-0.278069168,-1.031463027,0.778821945,0.897618473,-1.216413260,0.160166085,0.339111060,-1.558473587,3.646630764,1.830736518,-0.682876587,-2.727225304,1.074342966,0.424721688,0.879783452,-2.000423908,0.279164135,0.469197422,1.443297148,1.644596100,-0.615406394,-1.502232552,-0.080184676,0.944373488,-3.885281801,-0.218448460,-3.361245632,-8.609204292
632,12639.991,1786751918156.022,28876078.422,0.000000000,-2.327683687,-0.068767384,-1.114545584,0.427220076,1.331581712,-1.885694265,0.258665651,-0.578039050,-1.846214771,3.402464151,1.348076701,-0.879380345,-2.616856337,1.233266711,1.071478486,1.036115646,-1.417503476,0.455245852,0.577378154,1.317365885,1.439882994,-0.640885711,-1.733122468,-0.104160257,1.016304612,-3.442794323,-0.009056037,-3.930880785,-9.185745239
