index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17,tau_18,tau_19,tau_20,tau_21,tau_22,tau_23,tau_24,tau_25,tau_26,tau_27,tau_28
178,3559.989,1786877234187.473,12022005.408,0.000000000,21.000286102,16.976795197,-23.046108246,-58.696250916,-14.735363960,-0.569333315,-8.116141319,-9.493993759,5.823527813,0.801844060,-0.227329060,0.083152793,-6.874410152,12.332224846,-13.850494385,-4.989391327,1.336108804,2.227753401,-3.950820208,-0.192815810,-1.254043460,0.529113889,2.827034473,-3.526898623,-0.735257685,1.175903559,-0.016766796,0.225530967,0.043281034
179,3579.989,1786877234207.473,12022025.408,0.000000000,17.013660431,16.096977234,-23.209781647,-56.228828430,-14.013813019,-0.913837850,-6.910725594,-9.173843384,4.868406773,1.445923805,-0.220921785,0.101298563,-3.477395296,10.661996841,-11.703584671,-4.140198708,1.701581597,2.044228554,-3.628791094,-0.295967370,-1.304080129,0.662770748,1.488777995,-2.340872526,0.015684761,0.354126751,-0.056719385,-0.024286959,0.132018045
180,3599.989,1786877234227.474,12022045.409,0.000000000,13.747771263,14.231464386,-21.621856689,-56.007713318,-13.706664085,-1.431975603,-7.469002724,-8.120721817,2.495609760,0.313014090,0.239132971,0.208143532,-0.637053967,7.820847034,-9.290636063,-3.331950665,1.740479708,1.917125225,-2.408459663,-0.489130884,-0.979062974,0.674397171,0.570605874,-1.795698404,0.292291611,-0.361091465,0.038118828,-0.105344296,0.020627491
181,3619.990,1786877234247.474,12022065.409,0.000000000,8.120240211,13.372983932,-20.996376038,-55.789958954,-11.718366623,-2.125136614,-4.933156013,-5.967892170,2.467620611,1.053378344,0.271096259,0.139841303,-0.930408061,6.061182499,-7.190814495,-3.259052992,1.381026149,1.553740501,-1.998663902,-0.311309576,-0.626281977,0.551306844,-0.229227901,-1.344410896,0.301926196,-1.057650447,0.024823600,-0.371883303,-0.014317689
182,3639.989,1786877234267.473,12022085.408,0.000000000,3.006968975,13.147567749,-20.393093109,-55.896747589,-8.602532387,-2.778882265,-2.584650755,-3.368088722,1.874700546,2.235216618,0.260205835,0.149549633,-0.029714044,4.564754486,-5.570837021,-3.039032936,0.525163352,1.282480001,-1.914704561,-0.242830083,-0.516793311,0.371073216,-1.223012567,-1.218715072,-0.016074002,-1.827029109,0.112976618,-0.646480739,-0.080173001
183,3659.989,1786877234287.473,12022105.408,0.000000000,-1.516241312,13.023016930,-19.563140869,-54.110980988,-7.125521183,-3.005742311,0.622039795,-1.759906769,0.991258860,3.273256302,0.123404913,0.171003908,1.524545431,2.878415585,-5.067437649,-2.727880716,0.706558883,0.911058545,-1.821194053,-0.128703415,-0.553151727,0.219285756,-2.723859072,-1.562052488,-0.536470413,-2.473563671,0.072959058,-0.912258923,-0.198136702
184,3679.988,1786877234307.472,12022125.407,0.000000000,-5.457885265,10.632056236,-16.420961380,-51.837882996,-5.350082397,-3.660114765,4.826170444,-0.522702038,0.095217526,4.077721596,0.031561036,0.206676036,4.014529228,2.066999912,-5.496421337,-2.591917753,1.095206618,0.851291060,-1.907134533,-0.470987231,-0.588373125,0.237380683,-3.921538115,-2.562708139,-1.268313766,-2.907866716,0.052642200,-1.083996296,-0.390250504
185,3699.989,1786877234327.474,12022145.409,0.000000000,-10.939851761,8.508449554,-12.003068924,-49.994270325,-3.073502302,-4.604628563,12.644634247,0.346875072,-0.474779248,6.736523151,-0.276488721,0.210336536,5.917006016,1.467483521,-7.211492062,-2.305480003,1.709498525,1.107462645,-1.490749002,-0.674574733,-0.516026318,0.364582360,-4.402333736,-3.579178095,-1.859027863,-2.797871590,0.129434422,-1.049855828,-0.430280596
186,3719.989,1786877234347.474,12022165.409,0.000000000,-17.676376343,7.668917179,-5.270154953,-47.602176666,-0.614664733,-4.810633183,21.313236237,-1.883951545,-3.181228876,-8.707376480,-5.377600193,-3.184946537,8.019820213,-0.399459273,-9.984222412,-2.265602589,2.605497360,1.177125335,-1.883188605,-0.526986539,-0.529600620,0.365655959,-4.096134186,-4.233069897,-2.373675585,-2.184811592,0.147731081,-0.806463897,-0.480763197
187,3739.989,1786877234367.473,12022185.408,0.000000000,-18.747297287,8.183180809,-0.865834832,-43.731895447,1.431555986,-5.086650372,24.319982529,-1.046195030,-0.524997652,-13.149312019,-5.808170795,-4.380189896,7.598891735,-2.258341312,-11.649780273,-2.181725502,3.179222345,1.538930655,-1.616121173,-0.496045649,-0.527211964,0.419914633,-3.267288446,-4.812493324,-2.460057497,-1.755014658,0.123543046,-0.589188695,-0.528194427
188,3759.989,1786877234387.474,12022205.409,0.000000000,-17.984373093,8.775531769,0.515380740,-40.634983063,3.134895086,-5.308993340,25.018585205,0.137944654,1.167150855,-15.659214973,-6.399773121,-5.115474224,4.278605938,-4.265062809,-12.980252266,-2.543394566,3.369518042,1.831949472,-1.474943399,-0.506000698,-0.336331397,0.422112256,-1.861708760,-4.867911339,-2.344848633,-1.187332630,0.130940259,-0.434534550,-0.522781789
189,3779.998,1786877234407.482,12022225.417,0.000000000,-14.671084404,8.646022797,0.051977441,-39.481544495,4.491013050,-5.335565090,23.528285980,1.787669420,1.760075092,-16.780191422,-6.961481094,-5.425024033,1.679979086,-4.957964897,-14.658984184,-3.144248962,3.427191973,1.863434315,-1.729772568,-0.528494596,-0.357352704,0.415687770,-0.371574432,-4.344709873,-1.815414667,-0.755876482,0.299680561,-0.346148789,-0.420355022
190,3799.989,1786877234427.473,12022245.408,0.000000000,-13.022278786,8.670476913,-0.374261588,-39.685810089,5.886323929,-5.367487431,22.564558029,2.930369139,2.084086418,-17.685724258,-7.227853298,-5.583652973,0.109784365,-6.267522335,-15.507576942,-3.654165745,3.194891214,1.970313907,-1.947399974,-0.538918316,-0.420240730,0.442524463,0.847402632,-4.135708332,-1.375870824,-0.447462022,0.277398348,-0.310715526,-0.273657441
191,3819.988,1786877234447.472,12022265.407,0.000000000,-11.895833015,8.803372383,-0.417347044,-40.774959564,6.676835537,-5.606718540,21.865652084,2.714675426,1.895590067,-17.723058701,-7.248390198,-5.506930828,-1.009042740,-7.536939621,-15.891796112,-4.029605865,2.753847361,2.042413473,-2.200689554,-0.696647286,-0.445860803,0.479642153,1.745340466,-3.909859419,-1.006497383,-0.121202268,0.248100251,-0.247102335,-0.162738085
192,3839.988,1786877234467.473,12022285.407,0.000000000,-10.604876518,9.600764275,-0.864510536,-39.786029816,7.326539040,-5.684968472,20.696729660,3.569013596,1.379578710,-17.281303406,-7.062707424,-5.446785450,-0.770021617,-8.247054100,-15.898884773,-4.437649250,2.615356445,2.331455231,-2.192075014,-0.662032604,-0.442753911,0.550763667,2.022596121,-3.861555576,-0.930205822,0.007064475,0.313240439,-0.190622270,-0.124032184
193,3859.989,1786877234487.473,12022305.408,0.000000000,-11.052390099,10.365178108,-2.279907942,-39.090473175,8.889045715,-5.576418400,20.346298218,3.983071327,2.252725124,-13.643710136,-5.738137245,-4.928403854,-1.175844073,-8.451243401,-14.586811066,-3.660381317,2.702782154,2.367673397,-0.667853415,-0.790361226,-0.179588616,0.664117277,1.720818877,-4.465456963,-1.136376381,-0.060668491,0.449602127,-0.166519925,-0.230766803
194,3879.989,1786877234507.473,12022325.408,0.000000000,-10.078015327,11.902349472,-3.560135841,-38.210525513,10.383358955,-5.531157494,18.450496674,2.636154890,2.173700094,-11.793733597,-4.931307793,-4.627594471,-0.598865390,-8.433163643,-13.727884293,-3.107359648,2.872354507,2.330090284,-0.338740796,-0.585063934,0.075994074,0.682131827,1.681146741,-4.754476547,-1.237227201,0.178019613,0.358168036,-0.095312633,-0.312788635
195,3899.989,1786877234527.473,12022345.408,0.000000000,-7.700273037,13.963203430,-4.854686737,-36.200000763,11.563074112,-5.409850597,16.048175812,1.815195203,1.812484860,-11.640670776,-4.755337238,-4.342980862,0.442977130,-7.974028111,-13.237169266,-2.352880955,2.819740057,2.308159828,0.009074074,-0.628885210,0.205399692,0.591644287,1.511382580,-5.004053116,-1.286913395,0.169786409,0.482849121,-0.007098228,-0.298919469
196,3919.988,1786877234547.472,12022365.407,0.000000000,-6.348394394,14.690230370,-6.108586788,-33.804199219,12.410340309,-5.438498974,14.686447144,0.724390984,0.550978243,-11.850206375,-5.018677711,-4.280831337,1.473078012,-6.645416260,-13.994223595,-2.550198317,3.248092651,2.566630602,-0.583144069,-0.590445161,0.116032764,0.618846476,1.150552750,-5.216984749,-1.412218571,0.359771162,0.364469707,0.065192729,-0.335383207
197,3939.988,1786877234567.473,12022385.408,0.000000000,-1.638009906,14.230662346,-6.207726479,-31.594326019,13.025681496,-5.553522587,13.268248558,0.094494194,0.110504769,-11.836392403,-5.240856647,-4.149568081,2.056227207,-6.107104778,-15.770428658,-3.705119371,4.096863747,3.228044987,-1.375933647,-0.596050143,-0.152560830,0.789695442,1.311156511,-5.063057899,-1.491275430,0.449183077,0.433508754,0.073499657,-0.291764677
198,3959.989,1786877234587.474,12022405.408,0.000000000,0.827102423,13.596456528,-6.561306477,-30.225067139,13.859788895,-5.538099766,9.364752769,0.396380484,-0.821173131,-13.563306808,-5.223366737,-3.952637672,1.616137743,-5.108483791,-15.698632240,-3.831638336,4.433567047,3.344330311,-1.620291352,-0.654580772,-0.325356692,0.965331972,0.989809275,-5.151865005,-1.815744877,0.058067176,0.257369876,0.038104966,-0.329317093
