index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,right_hand_q_0,right_hand_q_1,right_hand_q_2,right_hand_q_3,right_hand_q_4,right_hand_q_5,right_hand_q_6
48,959.996,1786752133808.019,29091730.419,0.000000000,-0.000027041,-0.000742587,-1.515977144,1.481710196,1.508188963,1.481081128,1.507745266
49,979.995,1786752133828.019,29091750.419,0.000000000,-0.000024334,-0.000684359,-1.549510002,1.498245358,1.542055130,1.497641921,1.541598558
50,999.994,1786752133848.018,29091770.418,0.000000000,-0.000024401,-0.000649513,-1.581024766,1.511026859,1.574221134,1.510578632,1.573806882
51,1020.000,1786752133868.024,29091790.424,0.000000000,-0.000024455,-0.000638615,-1.609465122,1.519978642,1.603489637,1.519876480,1.603163600
52,1039.996,1786752133888.020,29091810.420,0.000000000,-0.000021062,-0.000657467,-1.634168744,1.525181055,1.629105210,1.525429010,1.628884673
53,1059.995,1786752133908.019,29091830.419,0.000000000,-0.000016553,-0.000696787,-1.654863119,1.527126074,1.650726557,1.527548790,1.650613904
54,1079.993,1786752133928.017,29091850.417,0.000000000,-0.000013402,-0.000735582,-1.671537638,1.527412653,1.668296933,1.527881742,1.668270469
55,1099.992,1786752133948.016,29091870.416,0.000000000,-0.000008679,-0.000745722,-1.684310794,1.527538061,1.681905031,1.528004646,1.681930184
56,1119.993,1786752133968.017,29091890.417,0.000000000,-0.000004350,-0.000717942,-1.693452716,1.527677536,1.691788197,1.528129458,1.691848397
57,1139.993,1786752133988.017,29091910.417,0.000000000,-0.000000654,-0.000659861,-1.699341893,1.527832747,1.698309660,1.528266907,1.698401093
58,1159.995,1786752134008.019,29091930.419,0.000000000,0.000000496,-0.000625433,-1.702533960,1.527956128,1.702043533,1.528388143,1.702132225
59,1179.992,1786752134028.016,29091950.416,0.000000000,-0.000001240,-0.000628819,-1.703564286,1.528025270,1.703419447,1.528467894,1.703490734
60,1199.993,1786752134048.017,29091970.417,0.000000000,-0.000005089,-0.000648839,-1.703916192,1.528116345,1.703964591,1.528578162,1.704030037
61,1219.992,1786752134068.015,29091990.415,0.000000000,-0.000007842,-0.000679612,-1.704075217,1.528204918,1.704138041,1.528684497,1.704204679
62,1239.992,1786752134088.016,29092010.416,0.000000000,-0.000006433,-0.000710462,-1.704213381,1.528292179,1.704275966,1.528774142,1.704345822
63,1259.997,1786752134108.021,29092030.421,0.000000000,-0.000002715,-0.000735227,-1.704343081,1.528374314,1.704405189,1.528851509,1.704477549
64,1279.995,1786752134128.019,29092050.419,0.000000000,0.000000380,-0.000760663,-1.704470158,1.528448820,1.704532743,1.528926134,1.704606414
65,1300.010,1786752134148.034,29092070.434,0.000000000,0.000002579,-0.000778144,-1.704597473,1.528530002,1.704660773,1.529010415,1.704735160
66,1320.004,1786752134168.028,29092090.428,0.000000000,0.000003944,-0.000778746,-1.704725623,1.528627872,1.704789400,1.529112220,1.704864383
67,1340.000,1786752134188.024,29092110.424,0.000000000,0.000006031,-0.000758723,-1.704857469,1.528753281,1.704922318,1.529237151,1.704996705
68,1359.997,1786752134208.021,29092130.421,0.000000000,0.000008392,-0.000746770,-1.704991460,1.528870940,1.705058098,1.529357195,1.705130577
69,1379.994,1786752134228.018,29092150.418,0.000000000,0.000010111,-0.000766037,-1.705126882,1.528957009,1.705196142,1.529452324,1.705266118
70,1399.994,1786752134248.018,29092170.418,0.000000000,0.000020121,-0.000726330,-1.705261946,1.529419661,1.705336094,1.529581666,1.705396891
71,1419.993,1786752134268.017,29092190.417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
72,1439.992,1786752134288.016,29092210.416,0.000000000,0.000022754,0.000023608,-0.008930165,0.008396318,0.008890403,0.006556257,0.008619076
73,1459.996,1786752134308.020,29092230.420,0.000000000,0.000033743,-0.000041984,-0.025240982,0.022236826,0.024524970,0.017903097,0.023881271
74,1479.992,1786752134328.016,29092250.416,0.000000000,0.000029722,-0.000103893,-0.046868917,0.043363430,0.045629002,0.036932811,0.044669144
75,1499.992,1786752134348.016,29092270.416,0.000000000,0.000015699,-0.000131150,-0.072173610,0.072698519,0.071236871,0.065253168,0.070122302
76,1519.992,1786752134368.016,29092290.416,0.000000000,0.000002140,-0.000125573,-0.100008346,0.108231135,0.100183360,0.101156779,0.099120170
77,1539.992,1786752134388.016,29092310.416,0.000000000,-0.000006995,-0.000118496,-0.129680917,0.146415070,0.131245270,0.140313312,0.130320773
78,1559.996,1786752134408.020,29092330.420,0.000000000,-0.000012939,-0.000131803,-0.160796627,0.184468582,0.163492635,0.179316789,0.162702739
79,1579.992,1786752134428.016,29092350.416,0.000000000,-0.000018334,-0.000144401,-0.192987606,0.221315250,0.196416497,0.217099145,0.195762426
80,1599.992,1786752134448.015,29092370.415,0.000000000,-0.000023095,-0.000167966,-0.225970969,0.257012129,0.229791999,0.253971875,0.229310170
81,1619.991,1786752134468.015,29092390.415,0.000000000,-0.000025884,-0.000217897,-0.259619385,0.291240454,0.263391376,0.289301902,0.263068736
82,1639.991,1786752134488.015,29092410.415,0.000000000,-0.000028266,-0.000275416,-0.293812037,0.323710471,0.297043264,0.322541624,0.296830088
83,1659.994,1786752134508.018,29092430.418,0.000000000,-0.000030598,-0.000308323,-0.319714695,0.347126156,0.322299331,0.346293122,0.322134733
84,1679.993,1786752134528.017,29092450.417,0.000000000,-0.000035350,-0.000332583,-0.354461342,0.377689242,0.356040925,0.376952678,0.355896831
85,1699.992,1786752134548.016,29092470.416,0.000000000,-0.000041857,-0.000343462,-0.389338553,0.408324838,0.389936209,0.407466114,0.389786720
86,1719.991,1786752134568.015,29092490.415,0.000000000,-0.000048513,-0.000349604,-0.424260110,0.439913422,0.424067110,0.438776821,0.423886687
87,1739.992,1786752134588.016,29092510.416,0.000000000,-0.000053241,-0.000358165,-0.459172308,0.473044634,0.458476573,0.471447170,0.458225667
88,1760.002,1786752134608.026,29092530.426,0.000000000,-0.000055571,-0.000372316,-0.494047433,0.507780492,0.493137181,0.505690753,0.492792934
89,1779.994,1786752134628.018,29092550.418,0.000000000,-0.000056017,-0.000387695,-0.528872490,0.543873250,0.527987301,0.541392267,0.527547419
90,1799.995,1786752134648.019,29092570.419,0.000000000,-0.000055459,-0.000410857,-0.563666224,0.580851555,0.562940836,0.578087270,0.562412679
91,1819.991,1786752134668.015,29092590.415,0.000000000,-0.000054021,-0.000459787,-0.598489404,0.617985368,0.597878158,0.615116596,0.597282350
92,1839.992,1786752134688.016,29092610.416,0.000000000,-0.000052981,-0.000517969,-0.633373320,0.654915929,0.632726789,0.652051449,0.632086873
93,1859.994,1786752134708.017,29092630.418,0.000000000,-0.000053451,-0.000556470,-0.668240130,0.691915929,0.667537272,0.689110577,0.666883528
94,1879.992,1786752134728.016,29092650.416,0.000000000,-0.000054247,-0.000571699,-0.694339573,0.719880342,0.693648160,0.717143834,0.693002820
95,1899.992,1786752134748.016,29092670.416,0.000000000,-0.000055280,-0.000576787,-0.729027390,0.757702053,0.728494942,0.755063713,0.727877438
96,1919.991,1786752134768.015,29092690.415,0.000000000,-0.000056328,-0.000575910,-0.763611674,0.795887887,0.763371825,0.793383002,0.762799680
97,1939.993,1786752134788.016,29092710.416,0.000000000,-0.000057401,-0.000599589,-0.798232257,0.833435535,0.798179984,0.831226051,0.797681570
98,1959.998,1786752134808.022,29092730.422,0.000000000,-0.000057525,-0.000638486,-0.832943320,0.870041013,0.832882762,0.868201017,0.832468867
99,1979.995,1786752134828.018,29092750.419,0.000000000,-0.000056415,-0.000677212,-0.867724478,0.905955911,0.867518425,0.904353499,0.867170334
100,1999.993,1786752134848.016,29092770.417,0.000000000,-0.000054632,-0.000720508,-0.902587473,0.941185355,0.902104914,0.939623594,0.901790977
101,2019.994,1786752134868.018,29092790.418,0.000000000,-0.000054889,-0.000758963,-0.937491775,0.975884914,0.936650395,0.974413812,0.936373293
102,2039.993,1786752134888.017,29092810.417,0.000000000,-0.000056023,-0.000765865,-0.972318053,1.010781527,0.971185923,1.009395123,0.970962882
103,2059.993,1786752134908.017,29092830.417,0.000000000,-0.000055848,-0.000731966,-1.006924391,1.046808720,1.005767822,1.045233727,1.005588889
104,2079.993,1786752134928.017,29092850.417,0.000000000,-0.000054448,-0.000669801,-1.041256428,1.084224820,1.040403008,1.082180381,1.040239692
105,2099.990,1786752134948.014,29092870.414,0.000000000,-0.000053814,-0.000621313,-1.075429559,1.122144818,1.075049043,1.119884014,1.074908137
106,2119.992,1786752134968.016,29092890.416,0.000000000,-0.000052334,-0.000611525,-1.101049900,1.150285840,1.100995779,1.148108244,1.100880384
107,2139.993,1786752134988.017,29092910.417,0.000000000,-0.000047649,-0.000626383,-1.135266900,1.187022805,1.135507703,1.185018182,1.135415435
108,2159.993,1786752135008.017,29092930.417,0.000000000,-0.000041499,-0.000652596,-1.169581413,1.222924232,1.169963002,1.220933676,1.169872880
109,2179.993,1786752135028.017,29092950.417,0.000000000,-0.000035590,-0.000695273,-1.204018593,1.257893443,1.204378963,1.255788326,1.204283357
110,2199.992,1786752135048.016,29092970.416,0.000000000,-0.000030279,-0.000758830,-1.238585711,1.291685700,1.238741636,1.289516449,1.238645077
111,2219.993,1786752135068.017,29092990.417,0.000000000,-0.000024384,-0.000833013,-1.273247242,1.324345827,1.273047447,1.322174311,1.272939324
112,2239.993,1786752135088.017,29093010.417,0.000000000,-0.000019837,-0.000905889,-1.307967544,1.355952859,1.307322621,1.353878617,1.307191372
113,2259.996,1786752135108.020,29093030.420,0.000000000,-0.000019027,-0.000960140,-1.342726588,1.385754824,1.341616273,1.384027481,1.341483474
114,2279.996,1786752135128.020,29093050.420,0.000000000,-0.000018195,-0.000966726,-1.377458811,1.413475037,1.375978589,1.412192822,1.375854850
115,2299.995,1786752135148.019,29093070.419,0.000000000,-0.000014839,-0.000944508,-1.412064433,1.438826561,1.410360575,1.437828422,1.410242677
116,2319.994,1786752135168.018,29093090.418,0.000000000,-0.000010533,-0.000940841,-1.446480989,1.460711479,1.444630861,1.459753633,1.444518328
117,2339.994,1786752135188.018,29093110.418,0.000000000,-0.000009249,-0.000953054,-1.472179174,1.474259377,1.470219493,1.473290920,1.470135927
118,2359.994,1786752135208.018,29093130.418,0.000000000,-0.000011038,-0.000975726,-1.506341934,1.488413453,1.504224777,1.487622023,1.504232049
119,2379.994,1786752135228.017,29093150.418,0.000000000,-0.000014680,-0.000997358,-1.540195346,1.498414755,1.537968993,1.498228431,1.538114071
120,2399.993,1786752135248.017,29093170.417,0.000000000,0.000018974,0.000114901,-0.005826833,0.006052445,0.005999031,0.004763935,0.005810886
