index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_ax,base_ay,base_az
126,2519.995,1786884193226.501,18981044.436,0.000000000,0.562323332,-0.321965247,-0.292793512
127,2539.993,1786884193246.499,18981064.433,0.000000000,0.494110256,-0.392850190,0.303459764
128,2560.006,1786884193266.512,18981084.447,0.000000000,1.055874467,-0.050299745,-0.744022787
129,2580.000,1786884193286.506,18981104.441,0.000000000,0.526743352,-0.210844606,-0.213924438
130,2599.999,1786884193306.505,18981124.440,0.000000000,2.912782907,1.221439004,-3.432729006
131,2619.998,1786884193326.504,18981144.439,0.000000000,0.569540262,-1.335006833,0.588825166
132,2639.996,1786884193346.502,18981164.437,0.000000000,-1.630864382,-2.120016336,-0.580270529
133,2659.998,1786884193366.504,18981184.438,0.000000000,-0.906600714,3.308851719,-6.179474354
134,2679.997,1786884193386.503,18981204.438,0.000000000,3.438792229,7.264840126,-11.986732483
135,2700.001,1786884193406.507,18981224.442,0.000000000,-1.781410217,-2.839698553,-1.760416746
136,2719.998,1786884193426.504,18981244.438,0.000000000,-2.203210592,-5.725201130,2.369758844
137,2740.004,1786884193446.510,18981264.445,0.000000000,-0.812031150,-3.137575150,-0.489960343
138,2759.999,1786884193466.505,18981284.440,0.000000000,0.000552915,1.030685902,4.711694241
139,2780.002,1786884193486.508,18981304.443,0.000000000,-3.924628019,-0.206566453,7.639634132
140,2800.005,1786884193506.511,18981324.446,0.000000000,-1.303554535,3.465394258,8.312035561
141,2820.000,1786884193526.506,18981344.441,0.000000000,0.024439076,2.419585466,7.485937119
142,2840.003,1786884193546.509,18981364.444,0.000000000,0.732409358,0.247366995,6.778371334
143,2860.000,1786884193566.506,18981384.441,0.000000000,0.746392906,-1.336580515,6.141541958
144,2879.999,1786884193586.505,18981404.440,0.000000000,2.087975264,-1.434245110,2.136572599
145,2900.004,1786884193606.510,18981424.445,0.000000000,1.702855229,-0.865444779,1.467899799
146,2919.998,1786884193626.504,18981444.439,0.000000000,1.133200765,-0.949184597,-2.343697071
147,2939.992,1786884193646.498,18981464.433,0.000000000,-2.027972937,-0.272755802,-1.409429073
148,2959.998,1786884193666.504,18981484.439,0.000000000,-0.539504766,0.274888128,-3.987818956
149,2979.992,1786884193686.499,18981504.433,0.000000000,-0.910580516,0.279283971,-3.712507248
150,2999.997,1786884193706.503,18981524.438,0.000000000,-1.014822483,0.420943439,-3.125715494
151,3019.991,1786884193726.498,18981544.432,0.000000000,-0.264920503,0.659004092,-2.124695063
152,3039.997,1786884193746.503,18981564.438,0.000000000,3.420536757,-0.790091693,-1.458207846
153,3059.993,1786884193766.499,18981584.434,0.000000000,-0.869273901,0.938928246,-1.603760719
154,3080.007,1786884193786.513,18981604.448,0.000000000,-1.277935863,0.072911404,-1.574714541
155,3099.999,1786884193806.505,18981624.440,0.000000000,0.138061970,3.252931118,-6.156999111
156,3119.995,1786884193826.501,18981644.436,0.000000000,3.016839743,3.404817820,-11.563667297
157,3139.993,1786884193846.499,18981664.434,0.000000000,3.703518152,5.908035755,-8.852326393
158,3159.995,1786884193866.501,18981684.436,0.000000000,-7.056689739,-7.369456768,6.470413685
159,3179.991,1786884193886.496,18981704.432,0.000000000,-2.385528803,-3.650099754,2.629009485
160,3199.990,1786884193906.496,18981724.431,0.000000000,1.633261085,1.172147751,3.538340569
161,3219.995,1786884193926.501,18981744.436,0.000000000,-1.576307058,-0.307051182,5.532216549
162,3239.991,1786884193946.497,18981764.432,0.000000000,-0.906818390,2.241158962,6.389307499
163,3260.005,1786884193966.511,18981784.446,0.000000000,0.648025751,2.123878479,7.579589844
164,3280.156,1786884193986.662,18981804.597,0.000000000,2.088108063,0.366153449,6.885713100
165,3299.999,1786884194006.504,18981824.439,0.000000000,0.471810430,-1.897804499,7.277583122
166,3320.013,1786884194026.519,18981844.454,0.000000000,1.887309909,-1.304597378,2.632466078
167,3339.998,1786884194046.504,18981864.439,0.000000000,-1.673747659,-1.975452185,2.482518673
168,3359.994,1786884194066.500,18981884.435,0.000000000,0.399585426,-0.592191875,-2.514289141
169,3379.997,1786884194086.503,18981904.438,0.000000000,-2.035938025,0.226556048,-2.457120180
170,3400.016,1786884194106.522,18981924.457,0.000000000,-1.975876689,2.346992731,-4.164143085
171,3419.998,1786884194126.504,18981944.439,0.000000000,-3.125965357,2.347489357,-4.251182556
172,3439.995,1786884194146.500,18981964.435,0.000000000,0.255414695,0.562911630,-3.785255909
173,3460.002,1786884194166.508,18981984.443,0.000000000,0.034548398,-0.232093111,-2.976527214
174,3479.998,1786884194186.503,18982004.438,0.000000000,-1.142684937,-0.882343292,0.336152673
175,3499.992,1786884194206.498,18982024.432,0.000000000,-0.081874236,-1.568745375,0.574275851
176,3519.996,1786884194226.502,18982044.437,0.000000000,0.215927467,-1.850028753,0.781827748
177,3540.014,1786884194246.520,18982064.455,0.000000000,0.029595621,-1.248868942,1.034452438
178,3560.009,1786884194266.515,18982084.450,0.000000000,-0.080182597,-1.196388245,0.861715376
179,3580.004,1786884194286.510,18982104.445,0.000000000,-0.175749481,-1.039230108,0.454308093
180,3599.999,1786884194306.505,18982124.440,0.000000000,-1.105925083,-2.357105255,-0.544411302
181,3620.005,1786884194326.510,18982144.446,0.000000000,-1.742319345,1.564488888,0.696548879
182,3640.003,1786884194346.509,18982164.443,0.000000000,-3.282109499,0.110822603,-0.584198117
183,3659.991,1786884194366.497,18982184.432,0.000000000,-0.001677216,-0.504439890,-4.863926411
184,3679.992,1786884194386.498,18982204.433,0.000000000,2.229778051,-0.821531355,-8.837817192
185,3700.015,1786884194406.521,18982224.456,0.000000000,2.048589945,0.435019404,-0.175475925
186,3720.015,1786884194426.521,18982244.456,0.000000000,0.960472524,-1.067028642,2.655362844
187,3739.996,1786884194446.502,18982264.437,0.000000000,1.627068639,0.523085713,3.446227074
188,3760.004,1786884194466.510,18982284.445,0.000000000,0.001237585,-0.461515933,4.636548996
189,3779.999,1786884194486.505,18982304.440,0.000000000,-0.265137434,0.489715606,1.350567818
190,3800.002,1786884194506.508,18982324.443,0.000000000,0.323511302,1.129222631,-0.630570233
191,3819.999,1786884194526.505,18982344.440,0.000000000,1.950775504,1.874501586,-2.783294201
192,3840.003,1786884194546.509,18982364.444,0.000000000,0.094944246,-3.377161980,3.282072067
193,3859.999,1786884194566.505,18982384.440,0.000000000,-0.025383266,0.159677431,2.229516983
194,3880.003,1786884194586.509,18982404.444,0.000000000,-0.739013493,1.102852702,-0.307401866
195,3900.000,1786884194606.506,18982424.441,0.000000000,-1.132712483,0.875538707,-0.205575690
196,3920.001,1786884194626.506,18982444.442,0.000000000,-3.983369350,3.785944462,-2.561639786
197,3939.996,1786884194646.502,18982464.437,0.000000000,-0.898730099,4.259964943,-2.120675325
198,3960.001,1786884194666.507,18982484.442,0.000000000,2.849616051,0.486070424,-0.037388571
199,3980.000,1786884194686.505,18982504.440,0.000000000,1.629848003,-1.323973179,1.610415697
200,3999.999,1786884194706.505,18982524.440,0.000000000,-0.015497737,-0.631951749,3.362604141
201,4019.999,1786884194726.505,18982544.440,0.000000000,-1.900242090,-2.103994131,5.084452629
