index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,torso_ax,torso_ay,torso_az
95,1899.992,1786884192606.498,18980424.433,0.000000000,0.000000000,0.000000000,0.000000000
96,1919.993,1786884192626.499,18980444.434,0.000000000,0.000000000,0.000000000,0.000000000
97,1939.992,1786884192646.498,18980464.433,0.000000000,0.000000000,0.000000000,0.000000000
98,1959.995,1786884192666.501,18980484.436,0.000000000,0.000000000,0.000000000,0.000000000
99,1979.992,1786884192686.498,18980504.433,0.000000000,0.000000000,0.000000000,0.000000000
100,2000.000,1786884192706.506,18980524.441,0.000000000,0.000000000,0.000000000,0.000000000
101,2019.992,1786884192726.498,18980544.432,0.000000000,0.000000000,0.000000000,0.000000000
102,2039.999,1786884192746.505,18980564.440,0.000000000,0.000000000,0.000000000,0.000000000
103,2059.997,1786884192766.503,18980584.438,0.000000000,0.000000000,0.000000000,0.000000000
104,2080.006,1786884192786.512,18980604.447,0.000000000,0.000000000,0.000000000,0.000000000
105,2100.027,1786884192806.533,18980624.468,0.000000000,0.000000000,0.000000000,0.000000000
106,2120.027,1786884192826.533,18980644.468,0.000000000,0.000000000,0.000000000,0.000000000
107,2139.997,1786884192846.503,18980664.438,0.000000000,0.000000000,0.000000000,0.000000000
108,2160.037,1786884192866.542,18980684.477,0.000000000,0.000000000,0.000000000,0.000000000
109,2180.001,1786884192886.507,18980704.442,0.000000000,0.000000000,0.000000000,0.000000000
110,2200.027,1786884192906.533,18980724.468,0.000000000,0.000000000,0.000000000,0.000000000
111,2219.998,1786884192926.504,18980744.438,0.000000000,0.000000000,0.000000000,0.000000000
112,2240.026,1786884192946.532,18980764.467,0.000000000,0.000000000,0.000000000,0.000000000
113,2259.996,1786884192966.502,18980784.437,0.000000000,0.000000000,0.000000000,0.000000000
114,2279.992,1786884192986.498,18980804.433,0.000000000,0.000000000,0.000000000,0.000000000
115,2299.994,1786884193006.500,18980824.435,0.000000000,0.000000000,0.000000000,0.000000000
116,2319.991,1786884193026.497,18980844.432,0.000000000,0.000000000,0.000000000,0.000000000
117,2339.994,1786884193046.500,18980864.435,0.000000000,0.000000000,0.000000000,0.000000000
118,2359.991,1786884193066.497,18980884.432,0.000000000,0.000000000,0.000000000,0.000000000
119,2379.996,1786884193086.501,18980904.437,0.000000000,0.000000000,0.000000000,0.000000000
120,2399.990,1786884193106.496,18980924.431,0.000000000,0.000000000,0.000000000,0.000000000
121,2419.990,1786884193126.496,18980944.431,0.000000000,0.000000000,0.000000000,0.000000000
122,2439.993,1786884193146.499,18980964.434,0.000000000,0.000000000,0.000000000,0.000000000
123,2459.990,1786884193166.496,18980984.431,0.000000000,0.000000000,0.000000000,0.000000000
124,2479.993,1786884193186.499,18981004.434,0.000000000,0.000000000,0.000000000,0.000000000
125,2499.990,1786884193206.496,18981024.431,0.000000000,0.000000000,0.000000000,0.000000000
126,2519.995,1786884193226.501,18981044.436,0.000000000,0.000000000,0.000000000,0.000000000
127,2539.993,1786884193246.499,18981064.433,0.000000000,0.000000000,0.000000000,0.000000000
128,2560.006,1786884193266.512,18981084.447,0.000000000,0.000000000,0.000000000,0.000000000
129,2580.000,1786884193286.506,18981104.441,0.000000000,0.000000000,0.000000000,0.000000000
130,2599.999,1786884193306.505,18981124.440,0.000000000,0.000000000,0.000000000,0.000000000
131,2619.998,1786884193326.504,18981144.439,0.000000000,0.000000000,0.000000000,0.000000000
132,2639.996,1786884193346.502,18981164.437,0.000000000,0.000000000,0.000000000,0.000000000
133,2659.998,1786884193366.504,18981184.438,0.000000000,0.000000000,0.000000000,0.000000000
134,2679.997,1786884193386.503,18981204.438,0.000000000,0.000000000,0.000000000,0.000000000
135,2700.001,1786884193406.507,18981224.442,0.000000000,0.000000000,0.000000000,0.000000000
136,2719.998,1786884193426.504,18981244.438,0.000000000,0.000000000,0.000000000,0.000000000
137,2740.004,1786884193446.510,18981264.445,0.000000000,0.000000000,0.000000000,0.000000000
138,2759.999,1786884193466.505,18981284.440,0.000000000,0.000000000,0.000000000,0.000000000
139,2780.002,1786884193486.508,18981304.443,0.000000000,0.000000000,0.000000000,0.000000000
140,2800.005,1786884193506.511,18981324.446,0.000000000,0.000000000,0.000000000,0.000000000
141,2820.000,1786884193526.506,18981344.441,0.000000000,0.000000000,0.000000000,0.000000000
142,2840.003,1786884193546.509,18981364.444,0.000000000,0.000000000,0.000000000,0.000000000
143,2860.000,1786884193566.506,18981384.441,0.000000000,0.000000000,0.000000000,0.000000000
144,2879.999,1786884193586.505,18981404.440,0.000000000,0.000000000,0.000000000,0.000000000
145,2900.004,1786884193606.510,18981424.445,0.000000000,0.000000000,0.000000000,0.000000000
146,2919.998,1786884193626.504,18981444.439,0.000000000,0.000000000,0.000000000,0.000000000
147,2939.992,1786884193646.498,18981464.433,0.000000000,0.000000000,0.000000000,0.000000000
148,2959.998,1786884193666.504,18981484.439,0.000000000,0.000000000,0.000000000,0.000000000
149,2979.992,1786884193686.499,18981504.433,0.000000000,0.000000000,0.000000000,0.000000000
150,2999.997,1786884193706.503,18981524.438,0.000000000,0.000000000,0.000000000,0.000000000
151,3019.991,1786884193726.498,18981544.432,0.000000000,0.000000000,0.000000000,0.000000000
152,3039.997,1786884193746.503,18981564.438,0.000000000,0.000000000,0.000000000,0.000000000
153,3059.993,1786884193766.499,18981584.434,0.000000000,0.000000000,0.000000000,0.000000000
154,3080.007,1786884193786.513,18981604.448,0.000000000,0.000000000,0.000000000,0.000000000
155,3099.999,1786884193806.505,18981624.440,0.000000000,0.000000000,0.000000000,0.000000000
156,3119.995,1786884193826.501,18981644.436,0.000000000,0.000000000,0.000000000,0.000000000
157,3139.993,1786884193846.499,18981664.434,0.000000000,0.000000000,0.000000000,0.000000000
158,3159.995,1786884193866.501,18981684.436,0.000000000,0.000000000,0.000000000,0.000000000
159,3179.991,1786884193886.496,18981704.432,0.000000000,0.000000000,0.000000000,0.000000000
160,3199.990,1786884193906.496,18981724.431,0.000000000,0.000000000,0.000000000,0.000000000
161,3219.995,1786884193926.501,18981744.436,0.000000000,0.000000000,0.000000000,0.000000000
162,3239.991,1786884193946.497,18981764.432,0.000000000,0.000000000,0.000000000,0.000000000
163,3260.005,1786884193966.511,18981784.446,0.000000000,0.000000000,0.000000000,0.000000000
164,3280.156,1786884193986.662,18981804.597,0.000000000,0.000000000,0.000000000,0.000000000
165,3299.999,1786884194006.504,18981824.439,0.000000000,0.000000000,0.000000000,0.000000000
