index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,playing_0
201,4019.986,1786879980549.418,14768367.353,0.000000000,1.000000000
202,4039.988,1786879980569.420,14768387.355,0.000000000,1.000000000
203,4059.985,1786879980589.418,14768407.353,0.000000000,1.000000000
204,4079.997,1786879980609.430,14768427.365,0.000000000,1.000000000
205,4099.989,1786879980629.421,14768447.356,0.000000000,1.000000000
206,4119.986,1786879980649.418,14768467.353,0.000000000,1.000000000
207,4139.989,1786879980669.421,14768487.356,0.000000000,1.000000000
208,4159.988,1786879980689.420,14768507.355,0.000000000,1.000000000
209,4179.988,1786879980709.420,14768527.355,0.000000000,1.000000000
210,4199.987,1786879980729.419,14768547.355,0.000000000,1.000000000
211,4219.985,1786879980749.417,14768567.352,0.000000000,1.000000000
212,4239.986,1786879980769.419,14768587.354,0.000000000,1.000000000
213,4259.987,1786879980789.419,14768607.354,0.000000000,1.000000000
214,4279.988,1786879980809.420,14768627.355,0.000000000,1.000000000
215,4299.986,1786879980829.419,14768647.354,0.000000000,1.000000000
216,4319.988,1786879980849.420,14768667.355,0.000000000,1.000000000
217,4339.995,1786879980869.427,14768687.362,0.000000000,1.000000000
218,4359.992,1786879980889.424,14768707.359,0.000000000,1.000000000
219,4379.989,1786879980909.422,14768727.357,0.000000000,1.000000000
220,4399.992,1786879980929.425,14768747.360,0.000000000,1.000000000
221,4419.995,1786879980949.427,14768767.362,0.000000000,1.000000000
222,4439.992,1786879980969.424,14768787.359,0.000000000,1.000000000
223,4459.990,1786879980989.422,14768807.357,0.000000000,1.000000000
224,4479.992,1786879981009.425,14768827.360,0.000000000,1.000000000
225,4499.992,1786879981029.425,14768847.359,0.000000000,1.000000000
226,4519.997,1786879981049.429,14768867.364,0.000000000,1.000000000
227,4539.991,1786879981069.424,14768887.359,0.000000000,1.000000000
228,4559.990,1786879981089.423,14768907.358,0.000000000,1.000000000
229,4579.989,1786879981109.421,14768927.356,0.000000000,1.000000000
230,4599.988,1786879981129.420,14768947.355,0.000000000,1.000000000
231,4619.989,1786879981149.421,14768967.356,0.000000000,1.000000000
232,4639.991,1786879981169.423,14768987.358,0.000000000,1.000000000
233,4659.989,1786879981189.422,14769007.357,0.000000000,1.000000000
234,4679.993,1786879981209.425,14769027.360,0.000000000,1.000000000
235,4699.991,1786879981229.424,14769047.358,0.000000000,1.000000000
236,4719.989,1786879981249.422,14769067.357,0.000000000,1.000000000
237,4739.989,1786879981269.422,14769087.357,0.000000000,1.000000000
238,4759.989,1786879981289.421,14769107.356,0.000000000,1.000000000
239,4779.988,1786879981309.420,14769127.355,0.000000000,1.000000000
240,4799.990,1786879981329.423,14769147.358,0.000000000,1.000000000
241,4819.988,1786879981349.421,14769167.356,0.000000000,1.000000000
242,4839.988,1786879981369.420,14769187.355,0.000000000,1.000000000
243,4859.987,1786879981389.419,14769207.354,0.000000000,1.000000000
244,4879.988,1786879981409.420,14769227.355,0.000000000,1.000000000
245,4899.989,1786879981429.421,14769247.356,0.000000000,1.000000000
246,4919.989,1786879981449.422,14769267.357,0.000000000,1.000000000
247,4939.990,1786879981469.423,14769287.358,0.000000000,1.000000000
248,4959.987,1786879981489.419,14769307.354,0.000000000,1.000000000
249,4979.986,1786879981509.418,14769327.353,0.000000000,1.000000000
250,4999.986,1786879981529.419,14769347.354,0.000000000,1.000000000
251,5019.985,1786879981549.417,14769367.352,0.000000000,1.000000000
252,5039.986,1786879981569.418,14769387.353,0.000000000,1.000000000
253,5059.986,1786879981589.418,14769407.353,0.000000000,1.000000000
254,5079.992,1786879981609.424,14769427.359,0.000000000,1.000000000
255,5099.993,1786879981629.425,14769447.360,0.000000000,1.000000000
256,5119.989,1786879981649.421,14769467.356,0.000000000,1.000000000
257,5139.989,1786879981669.421,14769487.356,0.000000000,1.000000000
258,5159.990,1786879981689.423,14769507.358,0.000000000,1.000000000
259,5179.987,1786879981709.420,14769527.355,0.000000000,1.000000000
260,5199.987,1786879981729.420,14769547.355,0.000000000,1.000000000
261,5219.989,1786879981749.421,14769567.356,0.000000000,1.000000000
262,5239.988,1786879981769.420,14769587.355,0.000000000,1.000000000
263,5259.987,1786879981789.420,14769607.355,0.000000000,1.000000000
