index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,base_wx,base_wy,base_wz
77,1539.992,1786876907821.481,11695639.416,0.000000000,-0.061697975,-0.000477326,0.046360608
78,1559.994,1786876907841.483,11695659.418,0.000000000,-0.055105574,-0.019233845,0.061569475
79,1580.021,1786876907861.510,11695679.445,0.000000000,-0.030998373,-0.013857346,0.057679214
80,1600.020,1786876907881.510,11695699.445,0.000000000,-0.002265643,-0.005383824,0.035985671
81,1620.063,1786876907901.553,11695719.488,0.000000000,0.071509898,-0.036073517,-0.031043351
82,1639.995,1786876907921.484,11695739.419,0.000000000,0.072825551,0.071195930,-0.085513562
83,1660.022,1786876907941.511,11695759.446,0.000000000,0.251854718,0.314110905,-0.543356061
84,1680.021,1786876907961.511,11695779.446,0.000000000,0.759820700,0.293538660,-0.816051543
85,1699.992,1786876907981.481,11695799.416,0.000000000,0.161477923,0.357970595,-0.459252566
86,1720.020,1786876908001.510,11695819.445,0.000000000,-0.024581950,0.263472110,-0.427470416
87,1740.021,1786876908021.510,11695839.445,0.000000000,-0.060887501,0.039025530,-0.387598276
88,1760.021,1786876908041.510,11695859.445,0.000000000,-0.091703869,0.010259503,-0.149952188
89,1780.020,1786876908061.509,11695879.444,0.000000000,-0.050104305,0.103066169,0.059878409
90,1799.993,1786876908081.482,11695899.417,0.000000000,-0.062543757,0.127494693,0.209907115
91,1820.020,1786876908101.510,11695919.445,0.000000000,-0.121715724,0.126296610,0.288448662
92,1839.994,1786876908121.483,11695939.418,0.000000000,-0.164660349,0.051978368,0.302867889
93,1859.993,1786876908141.482,11695959.417,0.000000000,-0.184750453,-0.069100462,0.309249252
94,1879.995,1786876908161.485,11695979.420,0.000000000,-0.160411492,-0.132195473,0.322378725
95,1900.020,1786876908181.510,11695999.445,0.000000000,-0.114898570,-0.152685001,0.326519698
96,1919.995,1786876908201.485,11696019.420,0.000000000,-0.057934996,-0.139083356,0.271011025
97,1940.023,1786876908221.512,11696039.447,0.000000000,-0.000794912,-0.143324986,0.122314423
98,1959.997,1786876908241.486,11696059.421,0.000000000,-0.007315150,-0.094045550,0.027301284
99,1979.991,1786876908261.480,11696079.415,0.000000000,0.022784038,-0.002471490,-0.046540909
100,2000.040,1786876908281.530,11696099.465,0.000000000,0.038773309,0.068261527,-0.092482492
101,2020.003,1786876908301.492,11696119.427,0.000000000,0.035807662,0.126755461,-0.115203448
102,2040.026,1786876908321.516,11696139.451,0.000000000,0.028632741,0.175338164,-0.139300227
103,2059.995,1786876908341.484,11696159.419,0.000000000,0.009189336,0.212548107,-0.122341275
104,2080.027,1786876908361.517,11696179.452,0.000000000,0.003460712,0.221640199,-0.125827774
105,2099.994,1786876908381.484,11696199.419,0.000000000,0.007594364,0.177260518,-0.140495434
106,2120.026,1786876908401.515,11696219.450,0.000000000,-0.020439910,0.197913334,-0.086143441
107,2139.993,1786876908421.482,11696239.417,0.000000000,-0.035283059,0.154638469,-0.051828753
108,2160.061,1786876908441.550,11696259.485,0.000000000,-0.019997675,0.129423931,0.000141298
109,2179.992,1786876908461.481,11696279.416,0.000000000,-0.006038118,0.061566498,0.042650454
110,2200.002,1786876908481.492,11696299.427,0.000000000,-0.028328834,0.026985558,0.049117055
111,2220.006,1786876908501.496,11696319.431,0.000000000,-0.052044850,-0.021138858,0.033537194
112,2240.008,1786876908521.498,11696339.432,0.000000000,-0.069039747,-0.058609016,0.029939726
113,2259.998,1786876908541.488,11696359.423,0.000000000,-0.025094789,-0.165520236,-0.020660939
114,2280.003,1786876908561.492,11696379.427,0.000000000,0.021369789,-0.233953848,-0.010135110
115,2300.005,1786876908581.494,11696399.429,0.000000000,0.008701642,-0.291805387,-0.003994528
116,2320.003,1786876908601.493,11696419.428,0.000000000,-0.027654596,-0.414164990,-0.024098992
117,2340.025,1786876908621.515,11696439.450,0.000000000,0.146819860,-0.019618973,0.770559609
118,2360.025,1786876908641.515,11696459.450,0.000000000,-0.160876244,-0.062894292,1.334389329
119,2380.024,1786876908661.513,11696479.448,0.000000000,-0.577873349,-0.003108111,1.380452752
120,2400.025,1786876908681.515,11696499.450,0.000000000,-1.231482983,-0.000387334,0.944053233
121,2420.024,1786876908701.514,11696519.449,0.000000000,-0.211542785,-0.158867791,0.449975640
122,2440.024,1786876908721.514,11696539.449,0.000000000,0.913064480,-0.450394750,-0.084260099
123,2460.002,1786876908741.491,11696559.426,0.000000000,0.102730013,-0.073294193,0.345980823
124,2480.010,1786876908761.499,11696579.434,0.000000000,-0.122386873,-0.039518349,0.091333881
125,2500.029,1786876908781.519,11696599.453,0.000000000,-0.235909134,-0.078046523,-0.258931130
126,2520.003,1786876908801.493,11696619.428,0.000000000,-0.179570347,-0.271373272,-0.581109107
127,2540.046,1786876908821.535,11696639.470,0.000000000,-0.230720609,-0.324287713,-0.624066412
128,2559.997,1786876908841.487,11696659.422,0.000000000,-0.337591916,-0.158340767,-0.437436253
129,2580.028,1786876908861.518,11696679.453,0.000000000,-0.210094333,-0.277655721,-0.170264065
130,2600.028,1786876908881.518,11696699.453,0.000000000,-0.066429831,-0.336978137,0.023397416
131,2620.030,1786876908901.520,11696719.455,0.000000000,-0.038319483,-0.564893186,0.196957543
132,2640.025,1786876908921.514,11696739.449,0.000000000,-0.069744423,-0.782602727,0.332683444
133,2660.028,1786876908941.518,11696759.453,0.000000000,-0.109126665,-0.649213433,0.059162367
134,2680.028,1786876908961.518,11696779.453,0.000000000,-0.386782020,-0.580563962,0.235024855
135,2700.036,1786876908981.525,11696799.460,0.000000000,0.163845539,-0.590441763,-0.285101533
136,2720.028,1786876909001.518,11696819.453,0.000000000,0.335495383,-0.887010813,-0.525532186
137,2740.000,1786876909021.490,11696839.425,0.000000000,0.064002663,-0.886249483,-0.287204266
138,2760.007,1786876909041.496,11696859.431,0.000000000,0.248108044,-0.456875205,-0.294952691
139,2780.028,1786876909061.518,11696879.452,0.000000000,0.535668194,-0.116032675,-0.431887865
140,2800.008,1786876909081.498,11696899.432,0.000000000,0.239671782,-0.171715230,-0.279551893
141,2820.027,1786876909101.517,11696919.452,0.000000000,0.208206505,-0.286376029,-0.346169382
142,2839.995,1786876909121.484,11696939.419,0.000000000,0.304717779,-0.238688335,-0.588465571
143,2860.049,1786876909141.538,11696959.473,0.000000000,0.312226474,-0.233295754,-0.739594400
144,2880.025,1786876909161.514,11696979.449,0.000000000,0.216561303,-0.153221697,-0.635877013
145,2900.028,1786876909181.518,11696999.452,0.000000000,0.182569802,-0.080925010,-0.516847432
146,2920.009,1786876909201.498,11697019.433,0.000000000,0.082222536,-0.199821725,-0.198885873
147,2940.026,1786876909221.515,11697039.450,0.000000000,0.110686965,-0.216242447,-0.095666647
148,2960.026,1786876909241.515,11697059.450,0.000000000,0.155279219,-0.274868011,-0.070909269
149,2980.025,1786876909261.514,11697079.449,0.000000000,0.132294849,-0.275717944,0.013356186
150,3000.027,1786876909281.516,11697099.451,0.000000000,0.102145851,-0.239908412,0.093337454
151,3020.045,1786876909301.535,11697119.470,0.000000000,0.049411140,-0.208050564,0.105470069
152,3040.024,1786876909321.514,11697139.449,0.000000000,-0.007087145,-0.251326770,0.133132249
153,3060.073,1786876909341.562,11697159.497,0.000000000,0.075692356,-0.294333458,0.094670393
154,3080.003,1786876909361.492,11697179.427,0.000000000,0.084207423,-0.284525007,-0.058495764
155,3100.027,1786876909381.516,11697199.451,0.000000000,0.048780870,-0.367707878,-0.168169141
156,3120.010,1786876909401.500,11697219.434,0.000000000,0.070538424,-0.369373590,-0.234019235
