index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,dq_17,dq_18,dq_19,dq_20,dq_21,dq_22,dq_23,dq_24,dq_25,dq_26,dq_27,dq_28
753,15059.992,1786878660587.510,13448405.445,0.000000000,-3.835154533,2.698929310,-7.898165703,4.595419407,-2.594998837,0.887459278,1.336076021,0.484009355,-3.191446304,0.712359548,-6.069124222,-1.654942036,-0.267481178,0.133404166,2.247635126,5.526666164,5.901493549,6.753307343,-0.311648309,1.128353119,0.563444972,3.345676422,-6.196111202,-1.797606349,3.158606529,0.091678642,-2.627675056,1.758688331,0.464100361
754,15079.992,1786878660607.510,13448425.444,0.000000000,-4.390583038,-0.001048613,-4.710630417,3.730516672,-2.880310059,1.219426036,0.942841589,0.398582458,-2.684173346,3.162894249,-3.896853447,-0.521688342,-4.909386158,1.232243180,1.993229866,8.868165016,5.254424572,6.864731312,-0.006977270,0.985759735,2.298206568,2.992387295,-6.132939816,-0.994760633,1.239281058,-2.298276901,-2.786595583,-0.275717288,-0.347993940
755,15100.038,1786878660627.556,13448445.491,0.000000000,-2.603405952,-2.067826748,0.142282605,4.001377106,-0.881381273,1.021303058,2.090489864,-0.212752894,-2.072551489,3.493169546,-2.448791027,0.401789576,-4.010319233,2.537186623,2.870309353,8.100961685,1.417243123,3.930835247,-0.088482767,0.679982901,3.899846077,2.253737688,-3.144143343,-2.284100771,-0.783182144,-2.689089537,-1.812552691,-1.974277258,-1.214948654
756,15119.995,1786878660647.513,13448465.448,0.000000000,-0.414423019,-2.593140841,3.333991289,2.187760115,-0.616758764,0.443658948,0.705658495,-0.503611922,-0.021123985,2.799420834,-1.853929996,1.274374008,-0.738599777,2.441422701,0.001970633,6.729372501,-1.534058928,0.220379785,-2.291995287,0.666946411,5.409975052,1.729637146,0.646249413,-2.216461182,-1.933644533,-0.953110993,-0.587943614,-2.091179132,-1.273607731
757,15140.046,1786878660667.564,13448485.499,0.000000000,1.927297711,-1.754558802,2.921987057,-2.445906162,-2.011091948,0.330112904,-1.733653188,0.677537203,2.162619591,2.407234907,-0.629426777,1.003667951,1.000914931,2.569072008,-3.850187063,7.219164848,-3.255597353,-1.772500277,-5.655539989,0.693718314,7.307672977,1.583681941,2.503733397,0.061530653,-2.095661879,0.649599373,-0.230819479,-0.850826979,-0.323863685
758,15159.992,1786878660687.510,13448505.445,0.000000000,4.793158531,-2.189862728,0.848597288,-5.178703785,4.795290470,-1.446441770,-1.518145680,0.241331026,2.048554659,1.587530613,-0.844827771,0.386522472,-0.400164157,1.760975480,-4.140689373,8.110081673,-4.169771671,-2.199260950,-7.832507610,1.199341893,8.303047180,1.630851746,1.624551415,3.182852983,-1.838140368,0.968870282,-0.745236695,0.087176383,0.888649523
759,15179.994,1786878660707.512,13448525.447,0.000000000,4.066243172,-1.369659543,-1.282570720,-4.175219536,22.913324356,-5.677435875,-0.274956256,0.191131279,2.561509848,2.413173199,-1.151036143,-1.030422091,-2.280379534,0.849281311,0.296792388,6.885247707,-5.060995579,-1.298273206,-6.948105335,0.505627573,6.592013359,1.177267194,-0.745830059,5.227767944,-2.036017418,-0.674114823,-2.648237944,0.440451592,1.951730251
760,15200.027,1786878660727.544,13448545.479,0.000000000,1.948023081,-1.678998351,0.772434115,1.314589977,-1.891242981,-1.555330157,0.399916887,-1.538783908,2.135262728,3.161705017,-0.021414345,-0.020532850,-4.116146088,-2.085613489,4.240854740,1.376031756,-3.172356844,-1.352602363,-2.597176790,-0.306730419,3.908573627,-0.218587324,0.320058882,5.125178814,-2.725578785,-3.403165579,-3.173059225,0.213135362,1.686807036
761,15219.996,1786878660747.514,13448565.449,0.000000000,-0.946291208,-0.200976551,2.210388422,1.218568444,-1.729480505,-0.088798583,-1.797505617,-2.537152529,-0.030173885,1.505134106,-1.269875288,-0.659090221,-1.879384637,-2.199741125,1.404676795,-1.729618669,-1.170151234,-2.241752625,0.129093513,-0.622902811,0.876840413,-0.822021067,3.371446133,2.940143585,-2.169253111,-5.193671703,-3.718235731,-0.186186463,1.322502017
762,15239.994,1786878660767.511,13448585.446,0.000000000,-2.094988108,1.715346336,1.924107671,1.547404170,-1.278170943,0.144265190,-3.493857622,0.276717216,1.684544683,1.449757099,0.134314835,-0.002745786,0.447120428,-0.696744442,-0.143359974,-2.600989103,-0.085047476,-2.836442947,-0.170211345,-0.273037910,-1.870437264,-0.801373541,4.477655411,1.014014244,-1.366311789,-6.224046707,-3.685673237,0.199378058,1.543314338
